president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,0,5,0,4,"My friends, before I begin the expression of those thoughts that I deem appropriate to this moment, would you permit me the privilege of uttering a little private prayer of my own. And I ask that you bow your heads: Almighty God, as we stand here at this moment my future associates in the Executive branch of Government join me in beseeching that Thou will make full and complete our dedication to the service of the people in this throng, and their fellow citizens everywhere. Give us, we pray, the power to discern clearly right from wrong, and allow all our words and actions to be governed thereby, and by the laws of this land. Especially we pray that our concern shall be for all the people regardless of station, race or calling. May cooperation be permitted and be the mutual aim of those who, under the concepts of our Constitution, hold to differing political faiths; so that all may work for the good of our beloved country and Thy glory.",5,171,0.12112382233518072,0.1155001899709469,0.1129703833578843,0.11466289886530427,0.09716166548552163,-0.03962251771318626,0.03763119451399786,0.03219167072545807,0.016436816442117322,0.011836291265024413,2.0,8.082540493089394e-05,0.0009371980267135036,"[0.12112382233518072, 0.1155001899709469, 0.1129703833578843, 0.11466289886530427, 0.09716166548552163]",0.7867844170477315,0.8049573712010063,0.7632892028677346,0.9588070782396759,-0.0024871999193500707
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,1,5,5,9,"Amen. My fellow citizens: The world and we have passed the midway point of a century of continuing challenge. We sense with all our faculties that forces of good and evil are massed and armed and opposed as rarely before in history. This fact defines the meaning of this day. We are summoned by this honored and historic ceremony to witness more than the act of one citizen swearing his oath of service, in the presence of God.",5,78,0.09904836428082092,0.08716406776748299,0.09735590390905717,0.1270480431715027,0.10294179670625275,-0.13018759127117183,0.03292064797895146,0.0569167428520801,0.0140657719822833,0.03460114573352575,2.272727272727273,0.0002190359979577829,0.005663336317878785,"[0.09904836428082092, 0.08716406776748299, 0.09735590390905717, 0.1270480431715027, 0.10294179670625275]",0.711429554264417,0.79765101886515,0.8310880735452513,0.9527425193801285,-0.002163222436413925
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,2,5,10,14,"We are called as a people to give testimony in the sight of the world to our faith that the future shall belong to the free. Since this century's beginning, a time of tempest has seemed to come upon the continents of the earth. Masses of Asia have awakened to strike off shackles of the past. Great nations of Europe have fought their bloodiest wars. Thrones have toppled and their vast empires have disappeared.",5,74,0.11295931598699692,0.10029530027306476,0.09202847728684438,0.09433246262149712,0.09220613601295513,-0.121164174098143,0.008256700136661847,-0.022920122109603792,-0.039048922952121166,-0.03829506206900043,1.0,7.776614987461326e-05,0.0022942919362675153,"[0.11295931598699692, 0.10029530027306476, 0.09202847728684438, 0.09433246262149712, 0.09220613601295513]",0.799432013207984,0.787372291640471,0.7371590512891232,0.9461178882059441,-0.0026485914602791295
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,3,5,15,19,"New nations have been born. For our own country, it has been a time of recurring trial. We have grown in power and in responsibility. We have passed through the anxieties of depression and of war to a summit unmatched in man's history. Seeking to secure peace in the world, we have had to fight through the forests of the Argonne to the shores of Iwo Jima, and to the cold mountains of Korea.",5,74,0.11229777273044611,0.10344529426103116,0.08804058757516875,0.10692386125262315,0.08060552742044401,-0.11650516549164913,-0.06001849829362195,-0.018476281830750833,0.002110704449029178,-0.051224557410702184,1.3846153846153846,0.0001787813974889283,0.002056786934483645,"[0.11229777273044611, 0.10344529426103116, 0.08804058757516875, 0.10692386125262315, 0.08060552742044401]",0.8096367406622161,0.8189269939137258,0.7491562788925976,0.9680809985110091,-0.0011481650179010275
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,4,5,20,24,"In the swift rush of great events, we find ourselves groping to know the full sense and meaning of these times in which we live. In our quest of understanding, we beseech God's guidance. We summon all our knowledge of the past and we scan all signs of the future. We bring all our wit and all our will to meet the question: How far have we come in man's long pilgrimage from darkness toward the light? Are we nearing the light--a day of freedom and of peace for all mankind?",5,91,0.09198383657432345,0.08832950077511408,0.08074671352550412,0.08957013228878481,0.07450981875331991,0.026244855146295657,0.1145563600915221,0.07961585919891452,0.056009073669851916,0.06278938966844588,1.7142857142857142,5.221902154007736e-05,0.001054181167435042,"[0.09198383657432345, 0.08832950077511408, 0.08074671352550412, 0.08957013228878481, 0.07450981875331991]",0.7888080796425021,0.8135177865830385,0.7609019487688083,0.9621779655758633,-0.0009093776030463033
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,5,5,25,29,"Or are the shadows of another night closing in upon us? Great as are the preoccupations absorbing us at home, concerned as we are with matters that deeply affect our livelihood today and our vision of the future, each of these domestic problems is dwarfed by, and often even created by, this question that involves all humankind. This trial comes at a moment when man's power to achieve good or to inflict evil surpasses the brightest hopes and the sharpest fears of all ages. We can turn rivers in their courses, level mountains to the plains. Oceans and land and sky are avenues for our colossal commerce.",5,107,0.10792988289252323,0.10909698689967909,0.0983623874364091,0.09855358397478552,0.10395376642843465,-0.06616794388920881,-0.0403421611735169,-0.004792566476657336,0.04521802080764708,0.007955718329277254,1.1304347826086956,2.549666589839098e-05,0.00186520594088859,"[0.10792988289252323, 0.10909698689967909, 0.0983623874364091, 0.09855358397478552, 0.10395376642843465]",0.7712762870049388,0.7991649270218097,0.7459130970445672,0.943104041681441,-0.0010568808783118014
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,6,5,30,34,"Disease diminishes and life lengthens. Yet the promise of this life is imperiled by the very genius that has made it possible. Nations amass wealth. Labor sweats to create--and turns out devices to level not only mountains but also cities. Science seems ready to confer upon us, as its final gift, the power to erase human life from this planet.",5,60,0.10898149358007633,0.10721046896590096,0.09108726205200439,0.09444454112201063,0.12216562777062255,-0.01552944256120298,0.046790689612813255,0.11530243856075124,0.02718188185208767,0.03485130420169561,1.7272727272727273,0.0001550331352269381,0.0022440304226399276,"[0.10898149358007633, 0.10721046896590096, 0.09108726205200439, 0.09444454112201063, 0.12216562777062255]",0.7503429217616743,0.776696334952208,0.7290520296506262,0.9185581158565093,-0.0012616114639718845
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,7,5,35,39,"At such a time in history, we who are free must proclaim anew our faith. This faith is the abiding creed of our fathers. It is our faith in the deathless dignity of man, governed by eternal moral and natural laws. This faith defines our full view of life. It establishes, beyond debate, those gifts of the Creator that are man's inalienable rights, and that make all men equal in His sight.",5,72,0.12972940123982757,0.14906246042069057,0.12757202310979482,0.12234135508398383,0.14477094383338138,0.05495764604063082,0.10729825188837945,0.08083332228550295,0.14287702768931926,0.11743094832240794,1.75,0.00013398876908244457,0.0011473522349719806,"[0.12972940123982757, 0.14906246042069057, 0.12757202310979482, 0.12234135508398383, 0.14477094383338138]",0.7505251869048747,0.804949004916093,0.7371437441765026,0.933521457146153,0.0013557403324919934
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,8,5,40,44,"In the light of this equality, we know that the virtues most cherished by free people--love of truth, pride of work, devotion to country--all are treasures equally precious in the lives of the most humble and of the most exalted. The men who mine coal and fire furnaces, and balance ledgers, and turn lathes, and pick cotton, and heal the sick and plant corn--all serve as proudly and as profitably for America as the statesmen who draft treaties and the legislators who enact laws. This faith rules our whole way of life. It decrees that we, the people, elect leaders not to rule but to serve. It asserts that we have the right to choice of our own work and to the reward of our own toil.",5,127,0.13694029704829563,0.13081653643323946,0.13348111506177343,0.12869109903321557,0.12189394242543229,0.0244682197800692,0.027099239301506536,0.05634819258297191,0.06729802210700264,0.05816102160388667,1.9,3.192733739307587e-05,0.00038178997062514146,"[0.13694029704829563, 0.13081653643323946, 0.13348111506177343, 0.12869109903321557, 0.12189394242543229]",0.7704126431242982,0.7934338614356454,0.7672438762852326,0.9490404785942003,-0.003987877960417732
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,9,5,45,49,"It inspires the initiative that makes our productivity the wonder of the world. And it warns that any man who seeks to deny equality among all his brothers betrays the spirit of the free and invites the mockery of the tyrant. It is because we, all of us, hold to these principles that the political changes accomplished this day do not imply turbulence, upheaval or disorder. Rather this change expresses a purpose of strengthening our dedication and devotion to the precepts of our founding documents, a conscious renewal of faith in our country and in the watchfulness of a Divine Providence. The enemies of this faith know no god but force, no devotion but its use.",5,116,0.1204622723131367,0.12266517993015903,0.09712306405865473,0.101617568344461,0.1193187706296681,-0.03846352465784498,0.04072895745192263,0.04843533951569575,-0.03457085854498555,-0.0006307165725119574,1.125,0.00014193922604239918,0.0016579424648592805,"[0.1204622723131367, 0.12266517993015903, 0.09712306405865473, 0.101617568344461, 0.1193187706296681]",0.7799078952873961,0.7964195874343989,0.7162322656941558,0.9334482065337537,-0.00031291875241003936
