speech_label,block_size,n_blocks,care_mean,fairness_mean,loyalty_mean,authority_mean,sanctity_mean,cosine_gonye_mean,cosine_pergel_mean,cosine_yasa_mean,cosine_gpy_sum_vector_mean,delta_vector_discriminant_mean,delta_vector_discriminant_std
1953 Inaugural Address,2,60,0.11452046042741844,0.11353509166875665,0.10472326495124151,0.10441381453592569,0.10613613256285351,0.7710762220919951,0.7924214180546094,0.7434286450177119,0.9392450110942445,-0.0013262809510477267,0.00403265282521056
1953 Inaugural Address,5,24,0.11507126941048847,0.11401974297044866,0.10508183948664639,0.10447092217587424,0.10578609807259708,0.7753116305002942,0.7969539606515065,0.7463409420837154,0.9440035718171758,-0.0015477390877968878,0.0021145948548426624
Farewell Address,2,42,0.11122567125967109,0.10566901182836737,0.10113614052890278,0.1042139064157666,0.0915891991658675,0.7803629699983493,0.7976447529474813,0.7522815098420639,0.9487406447251343,-0.0019556409790346,0.004437349132205634
Farewell Address,5,16,0.11293196646264295,0.10742145885771898,0.10285049388186547,0.10607798230785496,0.0932582198325288,0.7830608515376927,0.8027874641647869,0.7586148451474548,0.9545130230830989,-0.0020813974106458034,0.0031781540996207417
Mutual Security in Waging the Peace,2,101,0.11832701756162453,0.10622556942922995,0.10051907719364965,0.09962338660049418,0.08746667900583723,0.8016935960689991,0.788561306676908,0.7346853764284029,0.9465206461181875,-0.0028711475072692306,0.004500898160305486
Mutual Security in Waging the Peace,5,40,0.11773257597118965,0.10684924625551076,0.10080893626247338,0.09999588620155235,0.08726886823274521,0.805641431533628,0.7943940151346528,0.7385540565971735,0.9520845019038869,-0.0028034909397448527,0.002704081505034232
Our Future Security,2,87,0.10967391009878046,0.10465212367261811,0.09794466171268251,0.09824477476767005,0.08551575032544274,0.7905660364474612,0.7982689060132546,0.7423591221294796,0.9491109576640143,-0.0016626269694027037,0.004522652480477769
Our Future Security,5,35,0.11077397524258628,0.10302927723020322,0.09736003395700625,0.09699280788398704,0.0854041806306149,0.7972575662972626,0.796881562138247,0.7429859439220424,0.9515057098431394,-0.0022361773680348138,0.003322499676612495
UN General Assembly Address,2,100,0.10329845258740653,0.1020111901149275,0.09504244228196125,0.09470605999220982,0.07693178793627156,0.7967284926829528,0.8099302240193699,0.7448660116566166,0.9574157873579254,-0.0011837625602781287,0.0036688362439490827
UN General Assembly Address,5,40,0.10258939591708212,0.10114072709971464,0.0948384647579508,0.09460216815364615,0.07664202074689616,0.7980724067485043,0.8110181985464984,0.7492735311401526,0.9601930016316089,-0.0011554018951438233,0.001981134516739976
