president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,0,5,0,4,"My fellow Americans: Three days from now, after half a century in the service of our country, I shall lay down the responsibilities of office as, in traditional and solemn ceremony, the authority of the Presidency is vested in my successor. This evening I come to you with a message of leave-taking and farewell, and to share a few final thoughts with you, my countrymen. Like every other citizen, I wish the new President, and all who will labor with him, Godspeed. I pray that the coming years will be blessed with peace and prosperity for all. Our people expect their President and the Congress to find essential agreement on issues of great moment, the wise resolution of which will better shape the future of the Nation.",5,127,0.09205369275738819,0.08923674455313502,0.09996112875155913,0.10997418147264292,0.08168866531222094,0.06837041470273329,0.08083844248328888,0.09925070357627556,0.1296393904908276,0.06720949383099839,1.9473684210526316,0.00011676411134858706,0.0006809087313344341,"[0.09205369275738819, 0.08923674455313502, 0.09996112875155913, 0.10997418147264292, 0.08168866531222094]",0.741076533944416,0.8111942925440393,0.8170689444912673,0.9646400815240785,-0.0015754467970063128
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,1,5,5,9,"My own relations with the Congress, which began on a remote and tenuous basis when, long ago, a member of the Senate appointed me to West Point, have since ranged to the intimate during the war and immediate post-war period, and, finally, to the mutually interdependent during these past eight years. In this final relationship, the Congress and the Administration have, on most vital issues, cooperated well, to serve the national good rather than mere partisanship, and so have assured that the business of the Nation should go forward. So, my official relationship with the Congress ends in a feeling, on my part, of gratitude that we have been able to do so much together. II. We now stand ten years past the midpoint of a century that has witnessed four major wars among great nations.",5,136,0.08871508214025774,0.0832910421648176,0.0868640976802981,0.08961856225955367,0.07769069098399481,-0.05979864387717172,-0.04932570145229037,-0.017379821940977622,-0.07351044250905994,-0.00226136503660238,2.1052631578947367,2.3669028906671564e-05,0.0008841864440387701,"[0.08871508214025774, 0.0832910421648176, 0.0868640976802981, 0.08961856225955367, 0.07769069098399481]",0.7649944022386663,0.7991150954985585,0.7830735705872028,0.9555932828653767,-0.00170856816644379
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,2,5,10,14,"Three of these involved our own country. Despite these holocausts America is today the strongest, the most influential and most productive nation in the world. Understandably proud of this pre-eminence, we yet realize that America's leadership and prestige depend, not merely upon our unmatched material progress, riches and military strength, but on how we use our power in the interests of world peace and human betterment. III. Throughout America's adventure in free government, our basic purposes have been to keep the peace; to foster progress in human achievement, and to enhance liberty, dignity and integrity among people and among nations.",5,100,0.12049520415597047,0.1261434070387185,0.1176433614811514,0.11537455256899615,0.1152052339409398,0.12716501331229035,0.1396119897982876,0.11163421313485697,0.16990786292321722,0.1923679533327239,1.3636363636363635,2.066116601827314e-05,0.0010688252944519331,"[0.12049520415597047, 0.1261434070387185, 0.1176433614811514, 0.11537455256899615, 0.1152052339409398]",0.7668404088095805,0.8059890235404168,0.7561153571553434,0.9482447019170435,-0.0009832605343448458
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,3,5,15,19,"To strive for less would be unworthy of a free and religious people. Any failure traceable to arrogance, or our lack of comprehension or readiness to sacrifice would inflict upon us grievous hurt both at home and abroad. Progress toward these noble goals is persistently threatened by the conflict now engulfing the world. It commands our whole attention, absorbs our very beings. We face a hostile ideology--global in scope, atheistic in character, ruthless in purpose, and insidious in method.",5,79,0.15416411433294316,0.13643926991969946,0.11607322121119631,0.1269185167728221,0.12455002047668706,-0.14779520321360626,-0.12426877598194426,-0.10487020679740164,-0.1667530071674753,-0.021872609644017042,1.105263157894737,0.00021131323293657883,0.0031493273482816964,"[0.15416411433294316, 0.13643926991969946, 0.11607322121119631, 0.1269185167728221, 0.12455002047668706]",0.8071374485061988,0.7908069867491773,0.7259576761632124,0.946113247106893,-0.003947968640121577
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,4,5,20,24,"Unhappily the danger it poses promises to be of indefinite duration. To meet it successfully, there is called for, not so much the emotional and transitory sacrifices of crisis, but rather those which enable us to carry forward steadily, surely, and without complaint the burdens of a prolonged and complex struggle--with liberty the stake. Only thus shall we remain, despite every provocation, on our charted course toward permanent peace and human betterment. Crises there will continue to be. In meeting them, whether foreign or domestic, great or small, there is a recurring temptation to feel that some spectacular and costly action could become the miraculous solution to all current difficulties.",5,110,0.11560450503306492,0.10309971181484477,0.10552374398281313,0.10377508779284263,0.07922359718125091,0.008304661018119445,0.004118034764534774,0.009001915479625188,-0.0002211087813012445,0.016501337108881662,1.2608695652173914,0.00017977146456566037,3.8743029256204154e-05,"[0.11560450503306492, 0.10309971181484477, 0.10552374398281313, 0.10377508779284263, 0.07922359718125091]",0.8046958698784659,0.7973852029057257,0.7590689182899951,0.9612418835893319,-0.0032946216557066046
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,5,5,25,29,"A huge increase in newer elements of our defense; development of unrealistic programs to cure every ill in agriculture; a dramatic expansion in basic and applied research--these and many other possibilities, each possibly promising in itself, may be suggested as the only way to the road we wish to travel. But each proposal must be weighed in the light of a broader consideration: the need to maintain balance in and among national programs-balance between the private and the public economy, balance between cost and hoped for advantage--balance between the clearly necessary and the comfortably desirable; balance between our essential requirements as a nation and the duties imposed by the nation upon the individual; balance between actions of the moment and the national welfare of the future. Good judgment seeks balance and progress; lack of it eventually finds imbalance and frustration. The record of many decades stands as proof that our people and their government have, in the main, understood these truths and have responded to them well, in the face of stress and threat. But threats, new in kind or degree, constantly arise.",5,183,0.09629247143541796,0.10686375833693536,0.09043064981134796,0.10566402008192238,0.08163909287663075,-0.04500103787581729,0.028048737356357344,0.012706706728094801,0.03843437759798401,0.003398668451300462,4.625,0.00011214874161812237,0.0010448686220496189,"[0.09629247143541796, 0.10686375833693536, 0.09043064981134796, 0.10566402008192238, 0.08163909287663075]",0.7785789297557005,0.8422705106898377,0.7650372200285223,0.9715259123917325,0.001299127568575184
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,6,5,30,34,"I mention two only. IV. A vital element in keeping the peace is our military establishment. Our arms must be mighty, ready for instant action, so that no potential aggressor may be tempted to risk his own destruction. Our military organization today bears little relation to that known by any of my predecessors in peacetime, or indeed by the fighting men of World War II or Korea.",5,67,0.1467647349918547,0.10860028557130016,0.10949106062001848,0.109497182456141,0.10489829887376075,-0.14075526676489278,-0.10503894733015781,-0.08815199458622486,-0.1402994750876247,-0.0841348670617742,1.5384615384615385,0.00030225333919208164,0.0007552125959963984,"[0.1467647349918547, 0.10860028557130016, 0.10949106062001848, 0.109497182456141, 0.10489829887376075]",0.817217552412492,0.755495830251818,0.730360857829691,0.9374686875034675,-0.007666708972597615
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,7,5,35,39,"Until the latest of our world conflicts, the United States had no armaments industry. American makers of plowshares could, with time and as required, make swords as well. But now we can no longer risk emergency improvisation of national defense; we have been compelled to create a permanent armaments industry of vast proportions. Added to this, three and a half million men and women are directly engaged in the defense establishment. We annually spend on military security more than the net income of all United States corporations.",5,87,0.12278036862932722,0.09556191927715489,0.0919152627046056,0.08639157046342687,0.08388698916953553,-0.11966298079722978,-0.025123092824158977,0.001168033343985666,-0.007058280836585366,0.05067436834781098,2.3076923076923075,0.0002432636510285633,0.003892348973157533,"[0.12278036862932722, 0.09556191927715489, 0.0919152627046056, 0.08639157046342687, 0.08388698916953553]",0.83049939848652,0.7601558664702714,0.7125629500882237,0.9375544065451182,-0.004684870428305399
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,8,5,40,44,"This conjunction of an immense military establishment and a large arms industry is new in the American experience. The total influence-economic, political, even spiritual--is felt in every city, every State house, every office of the Federal government. We recognize the imperative need for this development. Yet we must not fail to comprehend its grave implications. Our toil, resources and livelihood are all involved; so is the very structure of our society.",5,71,0.1122275601873873,0.10956659690988615,0.11046711034323374,0.11102201684532968,0.09311926022277402,-0.10299668178813952,-0.045956561845989174,-0.038155626517932376,-0.05859554412684248,-0.07697004302090553,3.5,6.35984473475512e-05,0.0006775595266157432,"[0.1122275601873873, 0.10956659690988615, 0.11046711034323374, 0.11102201684532968, 0.09311926022277402]",0.7762348750691949,0.8069196857155588,0.7733991937223572,0.9594353886835738,-0.0020725277843269274
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,9,5,45,49,"In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex. The potential for the disastrous rise of misplaced power exists and will persist. We must never let the weight of this combination endanger our liberties or democratic processes. We should take nothing for granted. Only an alert and knowledgeable citizenry can compel the proper meshing of the huge industrial and military machinery of defense with our peaceful methods and goals, so that security and liberty may prosper together.",5,90,0.096203343849248,0.1146176005624264,0.10389303082239626,0.11797977747261644,0.0814356166529225,-0.026672332926704796,-0.029366384043205095,0.0023916817504559635,0.044805874214359775,0.042718966241560456,1.5294117647058822,0.0002178063611089545,0.0012956133251135198,"[0.096203343849248, 0.1146176005624264, 0.10389303082239626, 0.11797977747261644, 0.0814356166529225]",0.7619439480873199,0.8521737728400105,0.7858388974375727,0.977283871054479,0.002204575116229013
