president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,0,2,0,1,[Delivered from the President's Office at 8:30 p.m.] My Fellow Citizens: Just one week ago I talked with you about our Federal budget as a whole. Tonight I want to talk with you about one part of it: our Mutual Security programs.,2,42,0.11234244985135668,0.09234338674338688,0.10430084112403207,0.09334098399256281,0.07935935900659627,0.001326974551555929,0.03332082092196596,0.05856813020830413,-0.018974522755609017,0.04004080974943261,2.6,0.00015819063550939408,0.0009733694942139922,"[0.11234244985135668, 0.09234338674338688, 0.10430084112403207, 0.09334098399256281, 0.07935935900659627]",0.7991159692133867,0.7707734318375193,0.7594775057108885,0.9482098515775329,-0.004722731917732863
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,1,2,2,3,"These programs are the source of military and economic strength for our alliances throughout the free world. They form, in fact, a saving shield of freedom.",2,26,0.09886244887430133,0.10934456662020944,0.10785901804753141,0.0842560155729865,0.09442264294868502,0.11644393725781227,0.11007637914840919,0.18286895924991986,0.12467494890753456,0.14681218055687492,5.5,0.0001059588543923483,0.0008740448656646042,"[0.09886244887430133, 0.10934456662020944, 0.10785901804753141, 0.0842560155729865, 0.09442264294868502]",0.7672896491453155,0.7921373572012113,0.7376731857453092,0.9352624926731182,-0.0009979330269942084
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,2,2,4,5,"Although the cost of these programs amounts to only 5 percent of the budget, I am talking exclusively about them tonight for two simple reasons. First: In my judgment these programs do more than any other--dollar for dollar--in securing the safety of our country and the peaceful lives of all of us.",2,52,0.09576123709375713,0.11400611172167797,0.0865233144532896,0.07508437899285168,0.07122817605575378,-0.08490449674247806,0.06953040096461814,0.031830434284775756,-0.019393768553122772,0.08544853078374952,3.75,0.0002963718109013292,0.0048430950237401925,"[0.09576123709375713, 0.11400611172167797, 0.0865233144532896, 0.07508437899285168, 0.07122817605575378]",0.8242430102033846,0.8293387177370339,0.6813254055776408,0.9507973810460615,0.0018237700217229452
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,3,2,6,7,"Second: They are the most misunderstood of any of the Federal Government's activities. Their nature, their purposes, their results are vitally important to all of us--but little known to many of us.",2,32,0.10069993545594182,0.12604129296162922,0.09325940879445045,0.12574247498020058,0.08643506592132391,-0.07295557527855272,-0.08365834329701977,-0.02887503769750443,0.043307513111641424,-0.0013548021531727887,4.5,0.0003409174609699697,0.00272796190161126,"[0.10069993545594182, 0.12604129296162922, 0.09325940879445045, 0.12574247498020058, 0.08643506592132391]",0.7730563509721468,0.8732868271307003,0.7631547079977522,0.9812729850452404,0.0050772455505070715
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,4,2,8,9,"The common label of ""foreign aid"" is gravely misleading--for it inspires a picture of bounty for foreign countries at the expense of our own. No misconception could be further from reality.",2,31,0.11984564247664287,0.11261397650839534,0.10165567635232697,0.0901546695350846,0.07960609020448456,-0.013849465950715917,0.024275107531357566,0.06710903883067224,-0.011322842261904767,-0.03040074877552343,1.3333333333333333,0.00026638513024196555,0.0015201592760318164,"[0.11984564247664287, 0.11261397650839534, 0.10165567635232697, 0.0901546695350846, 0.07960609020448456]",0.8315414553486143,0.7946258046053808,0.7093138037703984,0.9508267640606978,-0.0022558774671304904
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,5,2,10,11,These programs serve our own basic national and personal interests. They do this both immediately and lastingly.,2,17,0.0985289716915432,0.12208065036478236,0.09554349754112793,0.09138734482552084,0.07210603582870488,0.029800402010687684,0.09092829622758189,0.10223822581906328,0.02575980665950593,0.0763826713762428,7.0,0.00031974438373124416,0.0012418323233303215,"[0.0985289716915432, 0.12208065036478236, 0.09554349754112793, 0.09138734482552084, 0.07210603582870488]",0.8115881243907509,0.8485132953223203,0.7114181211316017,0.9657422166282619,0.0028030872116204253
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,6,2,12,13,"In the long term, the ending or the weakening of these programs would vastly increase the risk of future war. And--in the immediate sense--it would impose upon us additional defense expenditures many times greater than the cost of mutual security today.",2,41,0.13640612322444737,0.11915671833989831,0.10152690152243604,0.1034514290668083,0.088567849330698,-0.05424752674910336,-0.036293040078099054,-0.03062626139273806,-0.08677956657372507,-0.03884277853053203,3.4,0.00033874608183675966,0.0005141055520222204,"[0.13640612322444737, 0.11915671833989831, 0.10152690152243604, 0.1034514290668083, 0.088567849330698]",0.8401290425118185,0.7931380361324956,0.707124365468185,0.9528074600309306,-0.003128628110248742
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,7,2,14,15,"This evening it is my purpose to give you incontestable proof of these assertions. We have, during this century, twice spent our blood and our treasure fighting in Europe--and twice in Asia.",2,32,0.12258239323243407,0.11945434023522557,0.09053152757415774,0.12428115842988638,0.1207065638888744,-0.2599868421052632,-0.14101593030194534,-0.10964443389943387,-0.33863646558165594,-0.1032817919799499,1.0,0.0001983595349867901,0.010841536084309246,"[0.12258239323243407, 0.11945434023522557, 0.09053152757415774, 0.12428115842988638, 0.1207065638888744]",0.7683961383564477,0.8136294050984264,0.7474736363624622,0.9485140375482807,0.0003206508795569954
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,8,2,16,17,"We fought cause we saw--too late to prevent war--that our own peace and security were imperilled, by the urgent danger--or the ruthless conquest--of other lands. We have gained wisdom from that suffering.",2,32,0.14195328475512967,0.10915210522804814,0.10175755901856358,0.09547556621833765,0.10279074631936626,-0.1796120523176011,-0.15903756991467932,-0.14458876597329592,-0.06486750209480206,-0.14497227088057443,2.4,0.00033808665862597486,0.001903158469720839,"[0.14195328475512967, 0.10915210522804814, 0.10175755901856358, 0.09547556621833765, 0.10279074631936626]",0.827888520951927,0.7515842259589345,0.7020033567158894,0.9286958760544884,-0.006220888818864366
Dwight D. Eisenhower,Mutual Security in Waging the Peace,91  - Radio and Television Address to the American People on the Need for Mutual Security in Waging the Peace.,1957-05-21,Oral,9,2,18,19,"We know, and the world knows, that the American people will fight hostile and aggressive despotisms when their force is thrown against the barriers of freedom, when they seek to gain the high ground of power from which to destroy us. But we also know that to fight is the most costly way to keep America secure and free.",2,59,0.1520533110036276,0.12222480332073485,0.12395579549170715,0.1296437288427764,0.11832207866494747,-0.042533434558420326,-0.019614857798519535,-0.0327474840133579,0.018025299790463363,0.020934644746027666,7.666666666666667,0.00017923674098084368,0.0008509101843967948,"[0.1520533110036276, 0.12222480332073485, 0.12395579549170715, 0.1296437288427764, 0.11832207866494747]",0.7960812120069687,0.7750776270562069,0.7547914885020718,0.946850869417316,-0.0073150407372749235
