president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,0,2,0,1,"Governor Gary, Mayor Street, Distinguished Guests, and My Fellow Americans: First, I should like to extend my thanks to the people of Oklahoma for this chance to share in celebrating the fiftieth anniversary of Oklahoma's statehood. Born in the Lone Star State just to your south, and reared in the Sunflower State just to the north, I have tonight a fine feeling of coming home again.",2,66,0.08980163211577158,0.07727535822447434,0.07575991004275333,0.09186913253097728,0.07846565576796495,-0.05385904504197301,-0.004653829626144701,0.043394156098195864,0.0671245184734008,-0.01371448120946057,1.3571428571428572,5.750146762422346e-05,0.002301512651040561,"[0.08980163211577158, 0.07727535822447434, 0.07575991004275333, 0.09186913253097728, 0.07846565576796495]",0.7677019904189327,0.7966272199025832,0.7823506027564218,0.9553748603039927,-0.0018104998959552095
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,1,2,2,3,"So your generous welcome has a special significance for me tonight. Frankly, I wish I could stay until Saturday.",2,19,0.15601082103601832,0.12626293838378347,0.10733580920310315,0.10271605598883429,0.12253790682386495,0.2928478846153846,0.31566825130171683,0.3167861949233717,0.23750060463659148,0.2682172353974528,0.8,0.00043934403392692685,0.0011357745936676138,"[0.15601082103601832, 0.12626293838378347, 0.10733580920310315, 0.10271605598883429, 0.12253790682386495]",0.8234852824868991,0.7548499207527118,0.68732752443533,0.9223085164012069,-0.006026065836343533
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,2,2,4,5,From all my friends this afternoon I have heard you have a pretty fair sort of a football team. And of course I should very much like to see it play.,2,31,0.08478140113778623,0.10257611781743499,0.09945596854442629,0.07976550461346396,0.06656992534969756,0.14364909415687188,0.2197448767291169,0.19497078948828947,0.22847764498391954,0.18030291446208116,4.5,0.00021793233798915294,0.0011434107863340277,"[0.08478140113778623, 0.10257611781743499, 0.09945596854442629, 0.07976550461346396, 0.06656992534969756]",0.7827415424812295,0.8224047675285373,0.7420898460432482,0.9557512689144273,0.00044763784652683547
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,3,2,6,7,"I am going to let you in on a secret. No matter how good it was before, since this afternoon when they made my grandson sort of an honorary member, it is a much better team.",2,36,0.10247384276471026,0.09821983789045562,0.11133569643095687,0.09100250043814642,0.08103880479562961,0.017842061607990713,-0.008464319702305103,0.029502643509647167,0.0151158345678015,0.012419681576797395,2.0,0.000131880044582163,0.00019022809841249232,"[0.10247384276471026, 0.09821983789045562, 0.11133569643095687, 0.09100250043814642, 0.08103880479562961]",0.7770478231003816,0.7837413345304677,0.7662265499741484,0.9473330359165271,-0.0031784890639685974
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,4,2,8,9,"He is now the proud possessor of a white football signed by Bud Wilkinson and all his players, and my ""son"" is the best ninety-pound tackle in the whole country. Last week I spoke of science in security; this evening I speak of security in a somewhat wider context.",2,49,0.08963726997995008,0.08091365790858904,0.09216586896163688,0.09940659519448371,0.08597264925178243,-0.05039773217736581,0.028833708763547326,0.08617599849264514,0.06161817943348034,0.001143840379597946,0.9166666666666666,4.784068737041397e-05,0.0028377245946132274,"[0.08963726997995008, 0.08091365790858904, 0.09216586896163688, 0.09940659519448371, 0.08597264925178243]",0.7368927533988171,0.7908580209261926,0.8093705211365083,0.9514684063585486,-0.0023012866598550626
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,5,2,10,11,We live in one of the great ages in the story of mankind. For millions of people science has removed the burden of backbreaking toil.,2,25,0.07792559593876246,0.095135294572899,0.10978438120303778,0.07754521348009033,0.09640940752180967,0.08209925994640277,0.009161574521488485,0.044471455286181794,-0.022950449239286044,0.08280460224089638,1.4,0.0001876346818043231,0.002133611805331083,"[0.07792559593876246, 0.095135294572899, 0.10978438120303778, 0.07754521348009033, 0.09640940752180967]",0.7035065867359325,0.7748183234583271,0.7715527344414835,0.9160294048919756,-0.0008828587700441502
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,6,2,12,13,"For other millions the hope of a good life is being translated into definite promise. In this wonderful age, we Americans have a special responsibility.",2,25,0.10900816239146519,0.1109620409113777,0.10110869375670975,0.09725209701913785,0.10628192213747882,0.13880625018659506,0.21141191219704375,0.2132404120997206,0.22474104856153534,0.24337651968846905,1.4,3.209923001515921e-05,0.001586111663753475,"[0.10900816239146519, 0.1109620409113777, 0.10110869375670975, 0.09725209701913785, 0.10628192213747882]",0.770029378887367,0.7953263930458263,0.7424819925255145,0.9396312722268525,-0.001197095391099634
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,7,2,14,15,"We were given a fresh continent and an opportunity to work out a modern dream of how men should work together, live together, and govern themselves. Drawing on all the cultures of the past, and on the rapid growth of science, we worked out a way in which every person can be his own competitive self, and at the same time be a dedicated member of a harmonious community.",2,69,0.10282585100332031,0.10834602136105428,0.0956635806073784,0.08107350052319226,0.08979727348918463,0.09700200171205967,0.09440303965712597,0.07071823483159423,0.04575211885289123,0.06702781360707129,3.5,0.00011483789681107904,0.00044947299349929495,"[0.10282585100332031, 0.10834602136105428, 0.0956635806073784, 0.08107350052319226, 0.08979727348918463]",0.7951686880261324,0.7964802209545144,0.7140178822754055,0.9387587187828561,-0.0007062441750306514
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,8,2,16,17,Now this week the Soviets are celebrating the 40th anniversary of their revolution. These four decades have seen them change from an agricultural to an industrial nation.,2,27,0.08217697871299254,0.0983366010260036,0.11235789662705323,0.1506763731576673,0.13271526237862122,0.19990643959668045,0.1902320917678812,0.10345367054348624,0.06074186471861468,0.03618096638655463,0.8333333333333334,0.0007370788336250541,0.005527632723691074,"[0.08217697871299254, 0.0983366010260036, 0.11235789662705323, 0.1506763731576673, 0.13271526237862122]",0.6214039233861457,0.8078114034596406,0.8624332551977868,0.933144400310177,0.0027259857218841915
Dwight D. Eisenhower,Our Future Security,"234  - Radio and Television Address to the American People on ""Our Future Security.""",1957-11-13,Oral,9,2,18,19,"We know of their rigorous educational system and their technological achievements. But we see all this happening under a political philosophy that postpones again and again the promise to each man that he will be allowed to be himself, and to enjoy, according to his own desires, the fruits of his own labor.",2,53,0.08634404605507219,0.11583059365289701,0.10005205483102235,0.08508584247557907,0.08576147951271583,0.0050666553121248795,0.08578248781670336,0.04448530785202854,0.17369803664385702,0.0045251593225674545,1.4285714285714286,0.0001793153315975123,0.004972763558941658,"[0.08634404605507219, 0.11583059365289701, 0.10005205483102235, 0.08508584247557907, 0.08576147951271583]",0.7635601139038161,0.8325857928795651,0.7323059118504043,0.9482006436446081,0.002425993784437676
