president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,0,5,0,4,"Mr. President, Mr. Secretary General, members of the General Assembly, and guests: The people of the United States join me in saluting those countries which, at this session of the General Assembly, are represented here for the first time. With the admission of new members, mainly from the giant continent of Africa, almost 100 nations will be joined in a common effort to construct permanent peace, with justice, in a sorely troubled world. The drive of self-determination and of rising human aspirations is creating a new world of independent nations in Africa, even as it is producing a new world of both ferment and of promise in all developing areas. An awakening humanity in these regions demands as never before that we make a renewed attack on poverty, illiteracy, and disease. Side by side with these startling changes, technology is also in revolution.",5,143,0.09381349209396171,0.08856825349752317,0.09526624445060183,0.0900019572370874,0.06978389394907986,-0.0337736922699438,0.0038093817596947083,0.017797832701580012,0.04185997740464519,-0.059990632515690964,3.1176470588235294,0.00010535880726225971,0.0016598717432821245,"[0.09381349209396171, 0.08856825349752317, 0.09526624445060183, 0.0900019572370874, 0.06978389394907986]",0.784520364247836,0.800476607147851,0.7746588528964413,0.9606544789762961,-0.0021155174303494374
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,1,5,5,9,"It has brought forth terrifying weapons of destruction, which for the future of civilization, must be brought under control through a workable system of disarmament. And it has also opened up a new world of outer space--a celestial world filled with both bewildering problems and dazzling promise. This is, indeed, a moment for honest appraisal and historic decision. We can strive to master these problems for narrow national advantage or we can begin at once to undertake a period of constructive action which will subordinate selfish interest to the general well-being of the international community. The choice is truly a momentous one.",5,102,0.121760963513053,0.10751055492421188,0.09153818848335923,0.08739875245878129,0.08614351654177733,-0.048106676465684686,-0.04100585573943604,-0.031044415954399794,-0.09237897016211435,-0.018945815650976833,1.6111111111111112,0.0002364909401633177,0.0007838869284368776,"[0.121760963513053, 0.10751055492421188, 0.09153818848335923, 0.08739875245878129, 0.08614351654177733]",0.8336953118465238,0.7835435955869691,0.6985785765490786,0.942795649334667,-0.0026161592877895767
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,2,5,10,14,"Today, I come before you because our human commonwealth is once again in a state of anxiety and turmoil. Urgent issues confront us. II. The first proposition I place before you is that only through the United Nations Organization and its truly democratic processes can humanity make real and universal progress toward the goal of peace with justice. Therefore, I believe that to support the United Nations Organization and its properly constituted mechanisms and its selected officers is the road of greatest promise in peaceful progress.",5,86,0.08588749410977158,0.08433750281903818,0.0877175160710403,0.08246814249968747,0.07688294562233557,-0.011043821260022842,0.053505738571258066,0.06906190316563313,0.04307319518032432,0.07962062053945002,3.1,1.7257649836028722e-05,0.001244384913489816,"[0.08588749410977158, 0.08433750281903818, 0.0877175160710403, 0.08246814249968747, 0.07688294562233557]",0.7661549134184239,0.7960131893166329,0.7715764827267432,0.9501308326443917,-0.0014942537298733224
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,3,5,15,19,"To attempt to hinder or stultify the United Nations or to deprecate its importance is to contribute to world unrest and, indeed, to incite the crises that from time to time so disturb all men. The United States stands squarely and unequivocably in support of the United Nations and those acting under its mandate in the interest of peace. Nowhere is the challenge to the international community and to peace and orderly progress more evident than in Africa, rich in human and natural resources and bright with promise. Recent events there have brought into being what is, in effect, a vast continent of newly independent nations. Outside interference with these newly emerging nations, all eager to undertake the tasks of modernization, has created a serious challenge to the authority of the United Nations.",5,133,0.08504745196338746,0.09042250598185067,0.0887222316371569,0.08967480365658513,0.06927270843177459,0.03575380554712826,0.04673213793415605,0.07422440196159136,0.08756813820686232,0.112398946391429,2.3684210526315788,7.794254462438115e-05,0.0009573583330799724,"[0.08504745196338746, 0.09042250598185067, 0.0887222316371569, 0.08967480365658513, 0.06927270843177459]",0.7743415589810442,0.8239700422601995,0.7760049751779508,0.9667313907330788,-0.0003136412984895004
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,4,5,20,24,"That authority has grown steadily during the 15 years since the United Nations pledged, in the words of its own Charter, ""to bring about by peaceful means, and in conformity with the principles of justice and international law, adjustments or settlement of international disputes or situations which might lead to a breach of the peace."" And during those years, the United Nations successfully supported Iran's efforts to obtain the withdrawal of foreign military forces; played a significant role in preserving the independence of Greece, rallied world resistance to aggression against the Republic of Korea; helped to settle the Suez crisis; countered the threat to Lebanon's integrity; and most recently, has taken on an even more important task. In response to the call of the Republic of the Congo, the United Nations under its outstanding Secretary General, has recently mounted a large-scale effort to provide that new Republic with help. That effort has been flagrantly attacked by a few nations which wish to prolong strife in the Congo for their own purposes. The criticism directed by these nations against the Secretary General, who has honorably and effectively fulfilled the mandate which he received from the United Nations, is nothing less than a direct attack upon the United Nations itself. In my opinion, he, the Secretary General, has earned the support and gratitude of every peace loving nation.",5,226,0.0970857874787655,0.09812869979978495,0.09209290446950469,0.10116636573211851,0.07626769020072617,0.008286780687970388,0.015123401130306061,0.01820538089093318,0.046723424646707166,0.025525008895302688,2.8620689655172415,9.761659847216196e-05,0.00021760661266621894,"[0.0970857874787655, 0.09812869979978495, 0.09209290446950469, 0.10116636573211851, 0.07626769020072617]",0.7837638276228194,0.8249529909194594,0.7722901050648777,0.9694476703329573,-0.0005272924028228848
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,5,5,25,29,"The people of the Congo are entitled to build up their country in peace and freedom. Intervention by other nations in their internal affairs would deny them that right and create a focus of conflict in the heart of Africa. The issue thus posed in the Congo could well arise elsewhere in Africa. The resolution of this issue will determine whether the United Nations is able to protect not only the new nations of Africa, but also other countries against outside pressures. It is the smaller nations that have the greatest stake in the effective functioning of the United Nations.",5,100,0.09800117006031527,0.10774986983281021,0.08234105125902057,0.08142025242948739,0.07837311998536066,-0.027333462508372916,0.05092571175411002,0.003444537676165142,0.019334590443632504,0.007775440504757859,3.4,0.00016140956290399414,0.0008000798539330387,"[0.09800117006031527, 0.10774986983281021, 0.08234105125902057, 0.08142025242948739, 0.07837311998536066]",0.8148872943051885,0.8238279393340335,0.7018790432191198,0.9530690634950849,0.000986531732813746
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,6,5,30,34,"If the United Nations system is successfully subverted in Africa, the world will be on its way back to the traditional exercise of power politics, in which small countries will be used as pawns by aggressive major powers. Any nation, seduced by glittering promises into becoming a cat's-paw for an imperialistic power, thereby undermines the United Nations and places in jeopardy the independence of itself and all others. It is imperative that the international community protect the newly emerging nations of Africa from outside pressures that threaten their independence and their sovereign rights. To this end, I propose a program which contains five major elements: First: A pledge by all countries represented at this Assembly to respect the African peoples' right to choose their own way of life and to determine for themselves the course they choose to follow. And this pledge would involve three specific commitments: To refrain from intervening in these new nations' internal affairs--by subversion, force, propaganda, or any other means.",5,164,0.09584608840318062,0.11153414731676152,0.10386907557083526,0.10621082168272775,0.08842094496003598,-0.02837620038379244,0.009403923965481746,0.006439490617390736,0.0028722255015671654,-0.010175177183364411,2.4782608695652173,8.274817192821551e-05,0.00024205054683230635,"[0.09584608840318062, 0.11153414731676152, 0.10386907557083526, 0.10621082168272775, 0.08842094496003598]",0.760307094056179,0.8331517385886477,0.7740921212618891,0.9640440751127045,0.0010642255789346869
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,7,5,35,39,"To refrain from generating disputes between the states of this area or from encouraging them to wasteful and dangerous competition in armaments. And to refrain from any action to intensify or exploit present unsettled conditions in the Congo--by sending arms or forces into that troubled area, or by inciting its leaders and peoples to violence against each other. These actions my country--and many others--are now avoiding. I hope this Assembly will call upon all its members to do likewise, and that each speaker who follows me to this platform will solemnly pledge his country to honor this call. Second: The United Nations should be prepared to help the African countries maintain their security without wasteful and dangerous competition in armaments.",5,120,0.1267002499140258,0.11488814590482906,0.11177738389173,0.11363767340340553,0.09157024869802277,-0.10477184717944303,-0.049434614659433385,-0.0005362414035291851,0.0012900512698710773,-0.026135246656352317,2.1176470588235294,0.0001610345348416771,0.001913890331510373,"[0.1267002499140258, 0.11488814590482906, 0.11177738389173, 0.11363767340340553, 0.09157024869802277]",0.8039389396430687,0.8007620993237955,0.7538527033225624,0.9602098314784265,-0.003296803286926317
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,8,5,40,44,"United Nations experts are being asked to train the Congo's security forces. If the Secretary General should find it useful to undertake increased activity in order to meet requests of this nature elsewhere, my country would be glad to join other Member States in making essential contributions to such United Nations activity. More importantly I hope that the African states will use existing or establish new regional machinery in order to avert an arms race in this area. In so doing, they would help to spare their continent the ravages which the excesses of chauvinism have elsewhere inflicted in the past. If, through concerted effort, these nations can choke off competition in armaments, they can give the whole world a welcome lesson in international relations.",5,125,0.0992164936440139,0.09408437189326475,0.08246429248189449,0.09385323068211472,0.06662195291037504,-0.0025212390501833854,0.027262293256107364,0.06613038881369668,0.05957802598128528,0.008115266073423753,2.5,0.00017048189231815925,0.00092741532150289,"[0.0992164936440139, 0.09408437189326475, 0.08246429248189449, 0.09385323068211472, 0.06662195291037504]",0.8148480416421717,0.8225136414599051,0.7480085776559683,0.9712013653678978,-0.0008114897673467888
Dwight D. Eisenhower,UN General Assembly Address,"302  - Address Before the 15th General Assembly of the United Nations, New York City",1960-09-22,Oral,9,5,45,49,"The speed and success of the United Nations in dispatching substantial forces to the Congo should give these states assurance that they can rely on the United Nations to organize an effective response if their security is threatened. This should reduce any pressures on them to raise larger forces than are required to maintain internal security. Thus they would help to free their resources for more constructive purposes. Third: We should all support the United Nations response to emergency needs in the Republic of the Congo which the Secretary General has shown such skill in organizing. I hope that states represented here will pledge substantial resources to this international program, and agree that it should be the preferred means of meeting the Congo's emergency needs.",5,125,0.10399145900120826,0.09587553818718618,0.10176119852892206,0.09287276330057326,0.06483052036702562,0.02726677619291902,0.0619378537507011,0.045304333690095365,0.06279048831426988,0.0714899787846756,4.0,0.0002482372093204764,0.00030904208424043097,"[0.10399145900120826, 0.09587553818718618, 0.10176119852892206, 0.09287276330057326, 0.06483052036702562]",0.8083528011199307,0.7991939594722983,0.7575528414653868,0.96285259959005,-0.002679164749049119
