speech_label,block_size,n_blocks,care_mean,fairness_mean,loyalty_mean,authority_mean,sanctity_mean,cosine_gonye_mean,cosine_pergel_mean,cosine_yasa_mean,cosine_gpy_sum_vector_mean,delta_vector_discriminant_mean,delta_vector_discriminant_std
First Annual Message,2,84,0.103699042380725,0.11284949651141098,0.10084289417489484,0.1079707335079205,0.08889823372577588,0.7748076420519051,0.8263452709612815,0.7584611489583087,0.9607889010259252,0.0006028698906317939,0.0033583980048396433
First Annual Message,5,33,0.10341712269859678,0.1146524394508368,0.10152188767069761,0.10850834479488865,0.08914624884247918,0.7761897466786568,0.8311226901568505,0.7601489125075417,0.9639960319368424,0.000911946796525952,0.0019351949241604718
Longest Special Message 1850,2,14,0.09538321569125785,0.10478554280354195,0.09031459085964426,0.10355635912551245,0.07495121688576259,0.7832096836837815,0.8392614519208079,0.7599846579353429,0.9701183985714786,0.0011628724514661625,0.0029140900993785287
Longest Special Message 1850,5,5,0.09309486674185471,0.10654266253253904,0.09154702701104904,0.10741897080263248,0.07394994248290117,0.7784592811396608,0.8510951763939361,0.7704717417717053,0.9773058872703896,0.0017216905222903352,0.0003211773717410399
Longest Special Message 1851,2,17,0.10973903543104255,0.11155229576515101,0.09853006462174865,0.12040642230405271,0.08435686822919368,0.7839700632958868,0.8344403180838876,0.7702357414712102,0.9725980586879485,0.00020655661807584673,0.001937036514651073
Longest Special Message 1851,5,7,0.10712971365587418,0.11010022524813572,0.09646820285678805,0.11474703829737368,0.0813973145023653,0.7890509595798978,0.8361165389156037,0.7674032397590632,0.9741978846074282,0.0002670288646673997,0.0010519042969788046
Second Annual Message,2,119,0.1024929758725092,0.11109190128738643,0.09678155632056307,0.1047072961431262,0.08279883450448881,0.7833342732483661,0.8290864194590238,0.7528945582973554,0.9631147292706631,0.0007683744782334688,0.0039693298199815945
Second Annual Message,5,47,0.10255744789308978,0.11067626562110548,0.0962460847102688,0.1040728123090184,0.08183729395979066,0.7885354145771087,0.8322939402377748,0.7540892513530196,0.9670241350806991,0.0006099210315455387,0.001886638401327436
Third Annual Message,2,108,0.10456018747617647,0.11310120899635126,0.10090960887017257,0.10652655282766482,0.08793559026760506,0.7773109279522892,0.824548866719052,0.7554622553320349,0.9598498492328874,0.00048724440656416066,0.0028989229331612145
Third Annual Message,5,43,0.10318397173423019,0.11179066946846757,0.10040389362102457,0.10559221640415628,0.08722946110982473,0.7794916965495035,0.8273940163646479,0.7589174763751343,0.9633024673119185,0.0003700777846156865,0.0018805302191610915
