president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,0,2,0,1,"Mr. Speaker, Mr. Vice President, Members of the 94th Congress, and distinguished guests: As we begin our Bicentennial, America is still one of the youngest nations in recorded history. Long before our forefathers came to these shores, men and women had been struggling on this planet to forge a better life for themselves and their families.",2,56,0.11058351634036584,0.09196733880007664,0.08422391576967078,0.08182970212441068,0.0943071375554435,-0.1826647060035386,-0.10991095071834156,-0.005816775694241841,-0.08170635310531048,-0.06906083412780172,1.1538461538461537,0.00012821949490405792,0.004144275237538624,"[0.11058351634036584, 0.09196733880007664, 0.08422391576967078, 0.08182970212441068, 0.0943071375554435]",0.7997521374988588,0.7617585591561791,0.717258962018527,0.9276587364240029,-0.0033020225103810585
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,1,2,2,3,"In man's long, upward march from savagery and slavery--throughout the nearly 2,000 years of the Christian calendar, the nearly 6,000 years of Jewish reckoning--there have been many deep, terrifying valleys, but also many bright and towering peaks. One peak stands highest in the ranges of human history.",2,47,0.09584884314045433,0.07960078201407418,0.09350138646565845,0.08927799652675285,0.0752460217495671,-0.14497061160547267,-0.0801321721441079,-0.06573512204045676,-0.11388121484075607,0.040189301287102706,0.5294117647058824,7.954966095692471e-05,0.004941615676218673,"[0.09584884314045433, 0.07960078201407418, 0.09350138646565845, 0.08927799652675285, 0.0752460217495671]",0.7742394045659748,0.7754900608049594,0.7848258692486636,0.950339225094466,-0.0035605157819458
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,2,2,4,5,One example shines forth of a people uniting to produce abundance and to share the good life fairly and with freedom. One union holds out the promise of justice and opportunity for every citizen: That union is the United States of America.,2,42,0.08592581786901181,0.10639303443993452,0.0798966002478157,0.07394197991296247,0.07226856872543004,0.06911103653269675,0.11998479577472748,0.2233151163631368,0.19102675003143313,0.2059753478634862,3.4,0.00019007235219815056,0.004232373737245357,"[0.08592581786901181, 0.10639303443993452, 0.0798966002478157, 0.07394197991296247, 0.07226856872543004]",0.8053151968952015,0.8365191522938142,0.6966431300011732,0.9522856972107773,0.002067329977611429
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,3,2,6,7,We have not remade paradise on Earth. We know perfection will not be found here.,2,15,0.0749235474006116,0.0642750373692077,0.0686900958466453,0.0489396411092985,0.0587155963302752,-0.0378510204081632,0.0205720930232558,0.0143790697674418,0.1815933333333333,-0.1287218749999999,0.25,9.804113280541528e-05,0.012777174010919778,"[0.0749235474006116, 0.0642750373692077, 0.0686900958466453, 0.0489396411092985, 0.0587155963302752]",0.8036517034053995,0.7451871860132679,0.711437612601398,0.9200696763212133,-0.00200935362725148
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,4,2,8,9,"But think for a minute how far we have come in 200 years. We came from many roots, and we have many branches.",2,23,0.07254052362911932,0.08694589797749797,0.08547345836818271,0.08246658406603015,0.07021465824859455,-0.014981282504990794,-0.02980125457875455,0.012243321775060075,-0.028503885615548927,-0.019251919642857128,1.0,5.864303057141739e-05,0.00028902559189878594,"[0.07254052362911932, 0.08694589797749797, 0.08547345836818271, 0.08246658406603015, 0.07021465824859455]",0.7473479408953946,0.8288173970680593,0.7819353137393846,0.9601900133120717,0.0005806848676009925
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,5,2,10,11,"Yet all Americans across the eight generations that separate us from the stirring deeds of 1776, those who know no other homeland and those who just found refuge among our shores, say in unison: I am proud of America, and I am proud to be an American. Life will be a little better here for my children than for me.",2,60,0.13315803103432605,0.11104154072645052,0.1252285917717813,0.08120446885262227,0.12213504725468885,0.011028785447657985,0.08777387240773869,0.09412273017236147,0.10031696322088764,0.006814760393644129,1.25,0.00041051443862990514,0.0021970137851651515,"[0.13315803103432605, 0.11104154072645052, 0.1252285917717813, 0.08120446885262227, 0.12213504725468885]",0.7760462409714958,0.7172968559643441,0.7078823680852521,0.8959829670834626,-0.007674628150571829
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,6,2,12,13,"I believe this not because I am told to believe it, but because life has been better for me than it was for my father and my mother. I know it will be better for my children because my hands, my brains, my voice, and my vote can help make it happen.",2,52,0.12180708783211205,0.10007596265987363,0.10433083038675584,0.0873250969090679,0.09442677185771792,0.005034229637880963,-0.029972200440963867,0.0424504440084139,0.016997067574972248,-0.027812983911279978,4.333333333333333,0.00016833358717234845,0.0009448025173122491,"[0.12180708783211205, 0.10007596265987363, 0.10433083038675584, 0.0873250969090679, 0.09442677185771792]",0.8050077761944259,0.7549337819345466,0.7260106695701963,0.9305286902629717,-0.005168434836582591
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,7,2,14,15,It has happened here in America. It has happened to you and to me.,2,14,0.0620155038759689,0.1029411764705882,0.0534351145038167,0.0457516339869281,0.0277777777777777,0.0743625,-0.18755,-0.1941428571428571,-0.1181714285714285,0.1646333333333333,2.0,0.0007798346931499335,0.02646359599284296,"[0.0620155038759689, 0.1029411764705882, 0.0534351145038167, 0.0457516339869281, 0.0277777777777777]",0.8593891290508757,0.8802075220511485,0.556038209576822,0.9351851549585257,0.004596173476787651
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,8,2,16,17,"Government exists to create and preserve conditions in which people can translate their ideas into practical reality. In the best of times, much is lost in translation.",2,27,0.14281095644050032,0.12598872657390298,0.08929616322489678,0.08848927476813928,0.12061850137509451,-0.0576096483302568,0.005552512937892301,0.0314569317557805,-0.037276302766592204,-0.06586290056176738,2.5,0.0005692795110107217,0.001751099196824469,"[0.14281095644050032, 0.12598872657390298, 0.08929616322489678, 0.08848927476813928, 0.12061850137509451]",0.8249374220746508,0.7613096178888799,0.6528736353931817,0.9115934179406235,-0.002445775690032119
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,9,2,18,19,But we try. Sometimes we have tried and failed.,2,9,0.127419336627422,0.12972686884903997,0.1437351592565299,0.14388167388167383,0.09539676182423656,-0.1854621263616558,-0.18883303376906313,-0.19163990519284635,-0.18008305030345473,-0.15229761904761904,3.0,0.0003915270200989354,0.00025255154017526417,"[0.127419336627422, 0.12972686884903997, 0.1437351592565299, 0.14388167388167383, 0.09539676182423656]",0.7638220522770957,0.818591892475446,0.8010424902753001,0.9704026305353054,-0.0025108057702616995
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,10,2,20,21,"Always we have had the best of intentions. But in the recent past, we sometimes forgot the sound principles that guided us through most of our history.",2,27,0.08611674039952322,0.06923882154044374,0.0544684030677239,0.06880246801849588,0.1162745670782006,-0.2167852681992337,0.04066760037348273,0.09829802934759473,-0.05580532855436079,-0.024764845008051473,2.0,0.0005602772240165944,0.014255568633413804,"[0.08611674039952322, 0.06923882154044374, 0.0544684030677239, 0.06880246801849588, 0.1162745670782006]",0.6980185730614097,0.7078610451582458,0.6990636659613492,0.8569204819181172,-0.001915937862181253
Gerald R. Ford,1976 State of the Union,19  - Address Before a Joint Session of the Congress Reporting on the State of the Union.,1976-01-19,Oral,11,2,22,23,We wanted to accomplish great things and solve age-old problems. And we became overconfident of our abilities.,2,17,0.10456474130711525,0.08222035827629773,0.10292194061323515,0.067165799628942,0.09771454635767182,-0.040034837314245224,0.11022664285714281,0.07966339586559452,0.09253272765246454,-0.048812317390724384,2.3333333333333335,0.0002540842933989378,0.005887400541082423,"[0.10456474130711525, 0.08222035827629773, 0.10292194061323515, 0.067165799628942, 0.09771454635767182]",0.7613203407970808,0.7065981213154994,0.7285593080732093,0.8939967928007511,-0.005735035015627887
