president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,0,2,0,1,"Mr. Chief Justice, my dear friends, my fellow Americans: The oath that I have taken is the same oath that was taken by George Washington and by every President under the Constitution. But I assume the Presidency under extraordinary circumstances never before experienced by Americans.",2,45,0.08525848566955958,0.09146544294272031,0.10365016000691135,0.1082671314668755,0.08105846044667701,-0.02743613615187516,0.033867749828796465,-0.012607014635268953,0.04963649233915543,-0.02016954443148873,2.5,0.0001367450220929356,0.0012051988814686066,"[0.08525848566955958, 0.09146544294272031, 0.10365016000691135, 0.1082671314668755, 0.08105846044667701]",0.7263473984626944,0.818236691051833,0.8223890046914544,0.963722372649901,-0.0006268557803134761
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,1,2,2,3,"This is an hour of history that troubles our minds and hurts our hearts. Therefore, I feel it is my first duty to make an unprecedented compact with my countrymen.",2,30,0.11245343044416196,0.09048514975754986,0.1512022269441475,0.10052374073500832,0.13740584689412785,-0.1823765705128205,-0.03294717151675484,0.05179976094399608,0.001380689964157698,-0.10563358532272327,1.2,0.000642842129105889,0.008462353589525254,"[0.11245343044416196, 0.09048514975754986, 0.1512022269441475, 0.10052374073500832, 0.13740584689412785]",0.6708867791691516,0.6925211457810758,0.8023294678238163,0.8814598407790456,-0.009911228695356773
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,2,2,4,5,"Not an inaugural address, not a fireside chat, not a campaign speech--just a little straight talk among friends. And I intend it to be the first of many.",2,28,0.10143545003820106,0.10460201381818769,0.0876102102783293,0.12332078179856897,0.07283209485433796,-0.035265819365415944,0.08479927130623559,0.06006016113992764,0.11179723774624149,0.03167222198172198,1.75,0.00035947352954879275,0.00318384640870213,"[0.10143545003820106, 0.10460201381818769, 0.0876102102783293, 0.12332078179856897, 0.07283209485433796]",0.7823561611645904,0.8534324885286477,0.7841074480306859,0.9853694501595439,0.0013030073586476273
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,3,2,6,7,"I am acutely aware that you have not elected me as your President by your ballots, and so I ask you to confirm me as your President with your prayers. And I hope that such prayers will also be the first of many.",2,43,0.07054919058676291,0.09992659069235106,0.09541576517711477,0.10266370222771654,0.06406105830349178,-0.00572412023971474,0.004764696327683608,0.05515332420572724,0.04513709694708363,-0.07051417483660127,2.6666666666666665,0.0003197402989883279,0.0024852203943895547,"[0.07054919058676291, 0.09992659069235106, 0.09541576517711477, 0.10266370222771654, 0.06406105830349178]",0.731506357758687,0.86665115707434,0.8036155596939265,0.9781042529501202,0.003034885004483727
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,4,2,8,9,"If you have not chosen me by secret ballot, neither have I gained office by any secret promises. I have not campaigned either for the Presidency or the Vice Presidency.",2,30,0.07328464516812835,0.12225346472862726,0.0915318045743562,0.10756437267850423,0.07783321166906906,-0.037841357142857156,0.03804986437246964,0.09514376984126986,0.06763058495918087,0.014624739898989889,10.0,0.000419403931163934,0.0026027461038053558,"[0.07328464516812835, 0.12225346472862726, 0.0915318045743562, 0.10756437267850423, 0.07783321166906906]",0.7362423095107788,0.8924567736680777,0.7632565006134101,0.9742780097443611,0.007107841101115675
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,5,2,10,11,"I have not subscribed to any partisan platform. I am indebted to no man, and only to one woman--my dear wife--as I begin this very difficult job.",2,27,0.1189265195200033,0.08779883178358573,0.10790160691311147,0.09187967494809957,0.10236121011526442,-0.1537104396446078,-0.12424470046936759,-0.08502170788770055,-0.12584723090277777,-0.12832469060523938,2.6666666666666665,0.00015632607551615662,0.0006056416664911971,"[0.1189265195200033, 0.08779883178358573, 0.10790160691311147, 0.09187967494809957, 0.10236121011526442]",0.7708247526080916,0.731988483317075,0.7592837434755254,0.9207296632483964,-0.007019908615869038
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,6,2,12,13,"I have not sought this enormous responsibility, but I will not shirk it. Those who nominated and confirmed me as Vice President were my friends and are my friends.",2,29,0.10211573872296038,0.10095607110048822,0.10382319253575473,0.12517361497741392,0.07598849876750821,0.011198404767450845,0.054521216349609256,0.05747258177008176,0.0939648213231558,0.015196883494138391,9.0,0.00030432172048610874,0.0011659325465044983,"[0.10211573872296038, 0.10095607110048822, 0.10382319253575473, 0.12517361497741392, 0.07598849876750821]",0.7626726744020267,0.832340797165508,0.8097622058673025,0.9791201184503225,-0.000735436389109119
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,7,2,14,15,"They were of both parties, elected by all the people and acting under the Constitution in their name. It is only fitting then that I should pledge to them and to you that I will be the President of all the people.",2,42,0.1100038355385709,0.12071143202842388,0.11450695453920633,0.12317082579811497,0.08285856765731421,-0.16707965974604538,-0.08095199490840183,0.032636679154989454,-0.011425410568087501,-0.10806827784960138,8.0,0.0002612155308858579,0.0062283000616889074,"[0.1100038355385709, 0.12071143202842388, 0.11450695453920633, 0.12317082579811497, 0.08285856765731421]",0.7787507575264838,0.8393130412686383,0.7791421877137127,0.9760943756949476,0.0006259769439635118
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,8,2,16,17,"Thomas Jefferson said the people are the only sure reliance for the preservation of our liberty. And down the years, Abraham Lincoln renewed this American article of faith asking, ""Is there any better way or equal hope in the world?"" I intend, on Monday next, to request of the Speaker of the House of Representatives and the President pro tempore of the Senate the privilege of appearing before the Congress to share with my former colleagues and with you, the American people, my views on the priority business of the Nation and to solicit your views and their views.",2,99,0.07891417140611462,0.10528521640175148,0.10435608693358414,0.10371004308367607,0.08132436250371995,0.04844878546593694,0.06178520442086652,0.053874745542037486,0.11140073180212756,0.053108605341581544,1.368421052631579,0.00017864153616081534,0.0006749659971974496,"[0.07891417140611462, 0.10528521640175148, 0.10435608693358414, 0.10371004308367607, 0.08132436250371995]",0.7266966146908499,0.8438703409184016,0.7983065758540903,0.9646423437653088,0.002199787641553784
Gerald R. Ford,Oath of Office Remarks,1  - Remarks on Taking the Oath of Office,1974-08-09,Oral,9,2,18,19,"And may I say to the Speaker and the others, if I could meet with you right after these remarks, I would appreciate it. Even though this is late in an election year, there is no way we can go forward except together and no way anybody can win except by serving the people's urgent needs.",2,56,0.09424001769897568,0.1032905197254139,0.08768796021011857,0.09559388728498312,0.08273882504983857,-0.008512741397972477,-0.0017734622235177414,-0.009984897901569756,0.04730562879082688,-0.05925879625334054,4.666666666666667,6.181259273415325e-05,0.0014292642167078216,"[0.09424001769897568, 0.1032905197254139, 0.08768796021011857, 0.09559388728498312, 0.08273882504983857]",0.7813384441200882,0.8307465985464834,0.7525861685852163,0.962863511829964,0.0007458479118774078
