speech_label,block_size,n_blocks,care_mean,fairness_mean,loyalty_mean,authority_mean,sanctity_mean,cosine_gonye_mean,cosine_pergel_mean,cosine_yasa_mean,cosine_gpy_sum_vector_mean,delta_vector_discriminant_mean,delta_vector_discriminant_std
1976 State of the Union,2,134,0.11355279644525795,0.11258241364261118,0.09931124989630893,0.09952106940705197,0.08918757325101924,0.7964540370210105,0.802887382938331,0.7296437049439166,0.9482431395037252,-0.000857108857576261,0.003392261955898797
1976 State of the Union,5,53,0.11411756557202486,0.11389742677397642,0.09874086361104153,0.09945769902669907,0.08865292791657263,0.8028233452715168,0.8089622923820621,0.7296904333354278,0.9533391830420969,-0.000754724303816975,0.002240669548019577
Inflation Summit Opening,2,22,0.10003509706720061,0.10888431561601175,0.10011169301815603,0.10994533050865046,0.086639685641171,0.7647883588359072,0.8290940150166125,0.7729086842174918,0.9637125062190706,0.00055300053115284,0.003336246351182551
Inflation Summit Opening,5,9,0.09917036668110896,0.10716196304913046,0.09981069476255769,0.10921668763108,0.08456867652907611,0.7681942215262905,0.8296305330898245,0.7754466772108269,0.9663410552896254,0.00037708510964600873,0.001908025588614875
Nixon Pardon,2,7,0.07832453808490573,0.10866459598534728,0.08241548114601994,0.09766127670480274,0.07140266217973952,0.7548626968247518,0.8670918667908475,0.759980461337031,0.9700700863789232,0.004664295848006721,0.00499552125076508
Nixon Pardon,5,3,0.0832430067084245,0.11266367146707224,0.08585219803895862,0.10057717349134972,0.07363845897611061,0.7678937788693272,0.8716247887759027,0.7529519421198723,0.9743649488306615,0.0041464628922207375,0.0015024365214507205
Oath of Office Remarks,2,19,0.10547586304846855,0.1043983510650623,0.1101596090629175,0.11134090004604957,0.08973785049685001,0.7583145789455705,0.8047797318764859,0.7825342778061405,0.9549966213459765,-0.0018474658072636667,0.004616439731323676
Oath of Office Remarks,5,7,0.10196764766141064,0.10375719097640461,0.10622539936466588,0.10950991899840724,0.08707289028074626,0.7604575698928858,0.8138716307226793,0.7842230044797155,0.9602855758198527,-0.0012334811990290181,0.004218956416307633
Tulane Vietnam Speech,2,54,0.10630165829954075,0.09610153911792808,0.09755185702448921,0.09548527135280699,0.08667831319779754,0.779325239738766,0.7849758796066468,0.7541995514904629,0.9438906037500364,-0.0027782884483833776,0.003202635879739726
Tulane Vietnam Speech,5,21,0.10733537152806673,0.0959900980084023,0.09771254317780813,0.0946252854168628,0.08568285071080453,0.7869827554142413,0.7858800563451999,0.755359602523293,0.9478345100973667,-0.002962317421201503,0.0020106172963869785
