president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,0,2,0,1,"Mr. Speaker, Senator Mansfield, Senator [Hugh] Scott, distinguished Members of the Congress of the United States, members of the Cabinet, participants, observers, ladies and gentlemen: At the first session of the Conference on Inflation, I asked that we get to work on a battle plan against public enemy number one. Important work has been done throughout the country.",2,58,0.07381115731895738,0.08395817966106534,0.08035745819687741,0.08344539093202952,0.06533249126443448,-0.0901381229034848,-0.03982419840704736,-0.04085766696261507,-0.01252091981363745,-0.011650835267827111,2.1,6.170144314143668e-05,0.001017089082269749,"[0.07381115731895738, 0.08395817966106534, 0.08035745819687741, 0.08344539093202952, 0.06533249126443448]",0.7609113706287727,0.8334638325725104,0.7817932073066594,0.9675370782950936,0.00042073890110350814
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,1,2,2,3,"Today, the climax of our efforts is at hand. I welcome the many distinguished Members of the Congress and citizens from all sectors of American society.",2,26,0.14323530184128716,0.1258868528999384,0.11909032337631976,0.12298696270921732,0.11549768042294306,0.026778651771937806,0.1913014828843996,0.1865937633547009,0.16117852787406234,0.10793831029594188,1.0,0.00011550184286920334,0.0047402478779694345,"[0.14323530184128716, 0.1258868528999384, 0.11909032337631976, 0.12298696270921732, 0.11549768042294306]",0.7967296007832563,0.7881958898767257,0.7459202056018496,0.9489109134360665,-0.004646591317666635
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,2,2,4,5,I deeply appreciate your commitment and your involvement. I am also very pleased to welcome representatives from many foreign lands.,2,20,0.11473161322807925,0.13934002518001917,0.13197221912520696,0.1075310593892109,0.1346664066431505,0.021455021645021635,0.04230282828282832,0.08557698475751796,0.16170520408163266,0.10168886783305897,3.5,0.0001890474990884485,0.0029983590885747343,"[0.11473161322807925, 0.13934002518001917, 0.13197221912520696, 0.1075310593892109, 0.1346664066431505]",0.7345647226543803,0.795308384912377,0.7427580713567247,0.9253676984376829,0.0006513944085072554
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,3,2,6,7,"This is, as we all know, an interdependent world. Inflation is an international problem.",2,14,0.08751667417121627,0.0956551031499415,0.07704137316106105,0.06982435514618125,0.06705191865386423,-0.157326306376209,-0.10046222127443058,-0.022881763890578104,-0.035565576984892336,-0.2174434978505291,2.0,0.00014495959663477257,0.006737912876156188,"[0.08751667417121627, 0.0956551031499415, 0.07704137316106105, 0.06982435514618125, 0.06705191865386423]",0.8182790190621527,0.8175132674054293,0.7001144029354068,0.9511330570943644,0.00040991395593396873
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,4,2,8,9,The efforts of each nation can become more effective if concerted action is achieved. The United States Government will consult with friends abroad as we move to combat an international threat.,2,31,0.10976442513441526,0.09624289972081562,0.08880481493278498,0.11329783367328085,0.07041098470491743,-0.06726652618069927,-0.04431663994964013,-0.009646848724696825,-0.0013838222129477866,0.015574375282898012,4.0,0.0002987160820795024,0.0011336996661708348,"[0.10976442513441526, 0.09624289972081562, 0.08880481493278498, 0.11329783367328085, 0.07041098470491743]",0.805138331590997,0.8211601588164142,0.7723462330725489,0.9765712137502649,-0.0017519327616403735
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,5,2,10,11,"I look forward to a productive series of discussions today and tomorrow morning. In the great tradition of the American town hall, this conference includes the widest range of views and opinions.",2,32,0.07303356622544076,0.0782662216879455,0.08337258455962267,0.0913808063623926,0.06516973200662933,0.043502681818181815,0.061272292062801645,0.047898864390659844,-0.014831904724999345,0.0437837887869706,1.375,9.924091419463948e-05,0.0008701258163975283,"[0.07303356622544076, 0.0782662216879455, 0.08337258455962267, 0.0913808063623926, 0.06516973200662933]",0.7404453596478892,0.8274436970943252,0.8140437597319666,0.9698369857913134,-0.00015743765793781173
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,6,2,12,13,Inflation concerns all Americans. This is a joint executive-legislative undertaking in response to a bipartisan recommendation of the Congress.,2,19,0.07512887925197174,0.09395769934421551,0.08065096809804174,0.09928177502944491,0.06991123716274521,-0.06446920634920639,0.01455477912186382,-0.03210150793650795,-0.019750162337662316,-0.05683374999999998,1.2,0.00015521642992802893,0.000996997175076592,"[0.07512887925197174, 0.09395769934421551, 0.08065096809804174, 0.09928177502944491, 0.06991123716274521]",0.7488888526591435,0.861562164015417,0.7903332434459174,0.9776740160715237,0.0023219902096896713
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,7,2,14,15,"It demonstrates that Americans can still come together in an effective way to confront an immediate danger threatening every citizen. There has been much talk at the various sessions throughout the country, but there has been action and a generation of ideas that will be used as tools for us on this occasion today and tomorrow.",2,56,0.12662114359322868,0.12191335423533263,0.10195139303714214,0.12968902433091678,0.10962569841278243,-0.09880637953706965,-0.08768129867461323,-0.06592803007838723,-0.07163125493005885,-0.04207370587292154,2.3333333333333335,0.00013848762739261043,0.00047239511645362893,"[0.12662114359322868, 0.12191335423533263, 0.10195139303714214, 0.12968902433091678, 0.10962569841278243]",0.7815070374481554,0.8201057862659552,0.7608448532183744,0.9619044623256685,-0.0005499013795028165
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,8,2,16,17,"We have taken a good look at many, many options, and we have already narrowed some of the options to those which would appear to be most effective and command the widest support. I appreciate your willingness to work with me on the inflationary problem which transcends America's many special interests, whether Republican or Democratic, labor or business, urban or rural.",2,61,0.10366674044303642,0.10051912085587872,0.1057472462891287,0.09456838868237935,0.08813532810440167,0.0169725663846645,0.07589783435605804,0.10470419734456118,-0.018484632287534213,0.04305062080510256,2.25,5.154372037149544e-05,0.0023343169376121293,"[0.10366674044303642, 0.10051912085587872, 0.1057472462891287, 0.09456838868237935, 0.08813532810440167]",0.7751984663629505,0.7916364965298925,0.7639493131189804,0.9489059867946652,-0.002485379785500688
Gerald R. Ford,Inflation Summit Opening,106  - Remarks Opening the Summit Conference on Inflation.,1974-09-27,Oral,9,2,18,19,"Nor does inflation respect age, sex, race, color, or creed. And inflation certainly punishes most cruelly those least able to cope with it.",2,23,0.12556325282697553,0.11983265282274555,0.1286732972890264,0.11851421608269559,0.14881176801721677,0.10074750063661826,0.06477287384176479,0.07752031212484997,0.16470435078079815,0.10546890699338975,1.1666666666666667,0.00014895427527303201,0.0014821214574997845,"[0.12556325282697553, 0.11983265282274555, 0.1286732972890264, 0.11851421608269559, 0.14881176801721677]",0.719287612302246,0.7610703320972544,0.7693160774777296,0.9158665713379266,-0.0044742119247560275
