president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,0,2,0,1,"Mr. President, President Hurley, Senator Johnston, my good friends from the House of Representatives, Eddie Hebert, Dave Treen, Lindy Boggs, Lieutenant Governor Fitzmorris, students, faculty, alumni, and guests of Tulane University: It is really a great privilege and a very high honor to have an opportunity of participating again in a student activity at Tulane University. And for this opportunity, I thank you very, very much.",2,66,0.07455428355935703,0.09129123186674318,0.08931859742714329,0.08430604283529637,0.06447437330508765,0.12691765974094338,0.1073704577686625,0.17005246702691204,0.19924420569977655,0.0669209764434482,1.0555555555555556,0.00012511480750061895,0.002703855765107635,"[0.07455428355935703, 0.09129123186674318, 0.08931859742714329, 0.08430604283529637, 0.06447437330508765]",0.759673709304831,0.8367622849553421,0.7768975032579621,0.966407873409626,0.000822089462358469
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,1,2,2,3,"Each time that I have been privileged to visit Tulane, I have come away newly impressed with the intense application of the student body to the great issues of our time, and I am pleased tonight to observe that your interest hasn't changed one bit. As we came into the building tonight, I passed a student who looked up from his book and said, ""A journey of a thousand miles begins but with a single step."" To indicate my interest in him, I asked, ""Are you trying to figure out how to get your goal in life?"" He said, ""No, I am trying to figure out how to get to the Super Dome in September."" [Laughter] Well, I don't think there is any doubt in my mind that all of you will get to the Super Dome.",2,137,0.09022622168644415,0.09023300525261112,0.08517027148940777,0.08828728851133684,0.07220484201146525,-0.05658153543940856,-0.04657921811929475,-0.0011492945401617304,-0.045243821704935405,-0.05210867848177488,1.8333333333333333,5.724936321932209e-05,0.0005002939226511254,"[0.09022622168644415, 0.09023300525261112, 0.08517027148940777, 0.08828728851133684, 0.07220484201146525]",0.7870621375104337,0.8160034978510304,0.7626102370147446,0.9631842770561541,-0.0007667057554510484
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,2,2,4,5,"Of course, I hope it is to see the Green Wave [Tulane University] have their very best season on the gridiron. I have sort of a feeling that you wouldn't mind making this another year in which you put the Tigers [Louisiana State University] in your tank.",2,47,0.06960905353274892,0.07389165030254496,0.07312049148609942,0.07998376413291863,0.06334339600852719,0.00641594431778603,0.0022886631670987426,-0.019126319776714525,0.07300575834699213,-0.00887800779467446,1.375,3.730680400260437e-05,0.001311002623469205,"[0.06960905353274892, 0.07389165030254496, 0.07312049148609942, 0.07998376413291863, 0.06334339600852719]",0.7535285589816458,0.8248505562233873,0.7934248413744055,0.9657184354645492,-9.825542910877824e-05
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,3,2,6,7,"When I had the privilege of speaking here in 1968 at your ""Directions '68"" forum, I had no idea that my own career and our entire Nation would move so soon in another direction. And I say again, I am extremely proud to be invited back.",2,46,0.10243353450584378,0.10115961009313992,0.09961449990106995,0.08931562272319785,0.09513340006965841,-0.11277974920255185,0.009712097231715667,0.08385649910394265,0.10734295833333334,0.10729890842490838,3.3333333333333335,2.8695884074245582e-05,0.008810610692827636,"[0.10243353450584378, 0.10115961009313992, 0.09961449990106995, 0.08931562272319785, 0.09513340006965841]",0.7722387276098291,0.7876833626069524,0.7485109088030639,0.9398276981482222,-0.0019547991203186996
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,4,2,8,9,"I am impressed, as I undoubtedly said before--but I would reiterate it tonight--by Tulane's unique distinction as the only American university to be converted from State sponsorship to private status. And I am also impressed by the Tulane graduates who serve in the United States Congress: Bennett Johnston, Lindy Boggs, Dave Treen.",2,52,0.06454775071749146,0.07922898264725711,0.06269204615956707,0.08351617604335032,0.06273645050426944,-0.08201626692871421,0.05992254549396677,0.07253843477311896,0.07458212968774683,0.0005080725410354955,0.47368421052631576,0.00010056807204649441,0.004497538304977251,"[0.06454775071749146, 0.07922898264725711, 0.06269204615956707, 0.08351617604335032, 0.06273645050426944]",0.7513272566574154,0.8615343634197813,0.7803450731555351,0.9746039911601155,0.0018037363020040609
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,5,2,10,11,"Eddie Hebert, when I asked him the question whether he was or not, and he said he got a special degree: Dropout '28. [Laughter] But I think the fact that you have these three outstanding graduates testifies to the academic excellence and the inspiration of this historic university, rooted in the past with its eyes on the future. Just as Tulane has made a great transition from the past to the future, so has New Orleans, the legendary city that has made such a unique contribution to our great America.",2,90,0.08411643552768498,0.07883287044068532,0.08642926606782542,0.0756718475792341,0.06607189018591944,0.012373951331654344,0.12111382251174573,0.11796053480888818,0.08582317796615478,0.059925145771477846,1.4666666666666666,6.415129118763237e-05,0.0020349921157320184,"[0.08411643552768498, 0.07883287044068532, 0.08642926606782542, 0.0756718475792341, 0.06607189018591944]",0.7817143840697709,0.7878977666204033,0.766493940483979,0.9510401726356869,-0.002001238967167758
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,6,2,12,13,"New Orleans is more, as I see it, than weathered bricks and cast-iron balconies. It is a state of mind, a melting pot that represents the very, very best of America's evolution, an example of retention of a very special culture in a progressive environment of modern change.",2,48,0.07855330983968267,0.08290269557974067,0.0908553273196535,0.09152841031618332,0.07639702469247464,-0.04613456795837856,0.09410808082720484,0.03263169212979265,-0.02690627712658492,0.04880480260268658,1.0909090909090908,4.808425174379704e-05,0.0032635025306481246,"[0.07855330983968267, 0.08290269557974067, 0.0908553273196535, 0.09152841031618332, 0.07639702469247464]",0.7350664940467271,0.8108654551318678,0.8061943943761966,0.9576644675996003,-0.0007324238343751274
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,7,2,14,15,"On January 8, 1815, a monumental American victory was achieved here--the Battle of New Orleans. Louisiana had been a State for less than 3 years, but outnumbered Americans innovated, outnumbered Americans used the tactics of the frontier to defeat a veteran British force trained in the strategy of the Napoleonic wars.",2,51,0.1243918506298129,0.09041637231816448,0.1034884008337348,0.1145561760776108,0.0668558949769158,-0.2929092154569568,-0.18976244066202233,-0.22285309846644744,-0.1748805689570997,-0.08958635692121036,0.7333333333333333,0.0005023435562779767,0.005475313148278564,"[0.1243918506298129, 0.09041637231816448, 0.1034884008337348, 0.1145561760776108, 0.0668558949769158]",0.8146897001028062,0.7798877878428684,0.7758331933864492,0.9648913094959215,-0.00597715421644341
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,8,2,16,17,We as a nation had suffered humiliation and a measure of defeat in the War of 1812. Our National Capital in Washington had been captured and burned.,2,27,0.1115526554506102,0.06703611361189504,0.09756839251852442,0.07437946490549176,0.0852304910734053,-0.35419215993157166,-0.16130198326466422,-0.2161367450047675,-0.19740411452241713,-0.21132843789367597,4.5,0.0003188429859655018,0.005431961564277589,"[0.1115526554506102, 0.06703611361189504, 0.09756839251852442, 0.07437946490549176, 0.0852304910734053]",0.7803058082207143,0.6875425737514723,0.7501610929165755,0.9026085036688631,-0.007737534253150772
Gerald R. Ford,Tulane Vietnam Speech,208  - Address at a Tulane University Convocation,1975-04-23,Oral,9,2,18,19,"So, the illustrious victory in the Battle of New Orleans was a powerful restorative to our national pride. Yet, the victory at New Orleans actually took place 2 weeks after the signing of the armistice in Europe.",2,37,0.06753909344341572,0.07227150432036594,0.09647672822422985,0.09892742703510071,0.06535091357120906,-0.0026948641749316806,0.0019026630441424431,0.0572762213463561,0.050483810576535844,0.007187913598088888,1.7142857142857142,0.00026481641057131053,0.0008213555970157612,"[0.06753909344341572, 0.07227150432036594, 0.09647672822422985, 0.09892742703510071, 0.06535091357120906]",0.692413166474109,0.8095419381973847,0.8575469876343697,0.9606444778064772,-0.0007991922579025507
