president_dir,source_file,output_csv,n_rows,has_speech_label,n_base_groups,n_safe_segments,D1_mean,D2_mean,D3_mean,D1_std,D2_std,D3_std
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\fillmore_core5_all_blocks_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\fillmore_core5_all_blocks_emfd_vectors_revised_discriminants.csv,477,True,10,10,0.03218509740808225,-0.29874037956061944,-1.6715661240478505,0.007096878281975932,0.01813504926892591,0.09575714540420349
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\first_annual_message_block2_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\first_annual_message_block2_emfd_vectors_revised_discriminants.csv,84,True,1,1,0.032888232501705715,-0.29887645029981086,-1.6632334536151432,0.007137186322891177,0.018989520429755463,0.09517027098953357
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\first_annual_message_block5_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\first_annual_message_block5_emfd_vectors_revised_discriminants.csv,33,True,1,1,0.033435607567676676,-0.297581136531618,-1.6677730946715263,0.005625154909167648,0.011476698841240278,0.06235856295763477
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\longest_special_message_1850_block2_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\longest_special_message_1850_block2_emfd_vectors_revised_discriminants.csv,14,True,1,1,0.02905223570795585,-0.2950079277329672,-1.6716186020801467,0.006473377823960397,0.0216741191359983,0.07620794730957713
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\longest_special_message_1850_block5_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\longest_special_message_1850_block5_emfd_vectors_revised_discriminants.csv,5,True,1,1,0.030055272891694913,-0.29060853769616457,-1.6739663104902154,0.004921439319341694,0.0028208711501420455,0.022599204934112434
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\longest_special_message_1851_block2_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\longest_special_message_1851_block2_emfd_vectors_revised_discriminants.csv,17,True,1,1,0.034578811669375126,-0.3008137552427545,-1.7159022927602265,0.007631576021637902,0.011170401403372774,0.05314167580200467
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\longest_special_message_1851_block5_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\longest_special_message_1851_block5_emfd_vectors_revised_discriminants.csv,7,True,1,1,0.0328494838532471,-0.3008500691695434,-1.722184967033662,0.005121654011204976,0.006382899540597554,0.03698706421132814
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\second_annual_message_block2_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\second_annual_message_block2_emfd_vectors_revised_discriminants.csv,119,True,1,1,0.03148295006741189,-0.29806232889572176,-1.6675467848762489,0.0075941506620005525,0.023878412768627705,0.12719395359241975
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\second_annual_message_block5_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\second_annual_message_block5_emfd_vectors_revised_discriminants.csv,47,True,1,1,0.03105119233649218,-0.29874223873618716,-1.684442518925042,0.0052487981393280845,0.01233644962305489,0.05708716109966832
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\third_annual_message_block2_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\third_annual_message_block2_emfd_vectors_revised_discriminants.csv,108,True,1,1,0.032682546408329925,-0.299569373477675,-1.6643887958740862,0.008044361366280901,0.017722860874727263,0.09987934927012579
fillmore_emfd_blocks,selected_speeches\fillmore_emfd_blocks\third_annual_message_block5_emfd_vectors.csv,selected_speeches\fillmore_emfd_blocks\revised_discriminants_v3_other\third_annual_message_block5_emfd_vectors_revised_discriminants.csv,43,True,1,1,0.031998114514415844,-0.30015416336863715,-1.6797659877001858,0.005986013880150894,0.011171042216368967,0.060805535278054094
