president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,0,2,0,1,"SIXTEEN HOURS AGO an American airplane dropped one bomb on Hiroshima, an important Japanese Army base. That bomb had more power than 20,000 tons of T.N.T.",2,26,0.15307836027776175,0.09579699436626797,0.10166070354327371,0.11794044056089725,0.07732478278198668,-0.17493858334656573,-0.19493783088235295,-0.13313432428682428,-0.15938192626845907,-0.19410737920168067,1.1428571428571428,0.0008135522319583452,0.0006727055419388074,"[0.15307836027776175, 0.09579699436626797, 0.10166070354327371, 0.11794044056089725, 0.07732478278198668]",0.8461855407993825,0.7502697938046609,0.7342190206002702,0.9486199168713704,-0.009301974810399613
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,1,2,2,3,"It had more than two thousand times the blast power of the British ""Grand Slam"" which is the largest bomb ever yet used in the history of warfare. The Japanese began the war from the air at Pearl Harbor.",2,39,0.13173868433915142,0.09051805859883914,0.07975249217390255,0.1100699192985225,0.09237645019741213,-0.18960923701057616,-0.17102538521065752,-0.14509207905201438,-0.16166152744038773,-0.2077973835935889,1.0,0.00041569104331756393,0.0005943218586521577,"[0.13173868433915142, 0.09051805859883914, 0.07975249217390255, 0.1100699192985225, 0.09237645019741213]",0.8167666574647519,0.7666540692250149,0.7363603878685793,0.9443024181358458,-0.0052805443918224025
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,2,2,4,5,They have been repaid many fold. And the end is not yet.,2,12,0.1010526315789473,0.084313725490196,0.1085594989561586,0.0933609958506224,0.0626506024096385,-0.3470979166666666,-0.2035697674418605,-0.0975038461538461,-0.2102866666666666,-0.0884846153846153,0.5,0.0003145586108486838,0.011033621341127123,"[0.1010526315789473, 0.084313725490196, 0.1085594989561586, 0.0933609958506224, 0.0626506024096385]",0.7855802941540196,0.7740018986416706,0.7868443938660464,0.955139984782446,-0.004519307425681341
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,3,2,6,7,With this bomb we have now added a new and revolutionary increase in destruction to supplement the growing power of our armed forces. In their present form these bombs are now in production and even more powerful forms are in development.,2,41,0.15131886259453026,0.10677943016993666,0.08740176714108759,0.12104405731704128,0.09642101168956732,-0.10454499556376859,-0.10014613462628798,-0.07620802575610894,-0.04555102189903854,-0.06697264035443723,8.0,0.0006252604541241933,0.0005926237359301595,"[0.15131886259453026, 0.10677943016993666, 0.08740176714108759, 0.12104405731704128, 0.09642101168956732]",0.8375429100821492,0.7736435348229757,0.7179285123735406,0.9481249074845728,-0.005899951274428612
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,4,2,8,9,It is an atomic bomb. It is a harnessing of the basic power of the universe.,2,16,0.20401628847664718,0.13273498334546574,0.10105729935587422,0.1530191960685929,0.1049974458554092,-0.20086940516273846,-0.13280446821152708,-0.10669518518518516,-0.16822026041666668,-0.1928212301587302,1.0,0.0017646480211406701,0.0015989291026833532,"[0.20401628847664718, 0.13273498334546574, 0.10105729935587422, 0.1530191960685929, 0.1049974458554092]",0.8668414828701568,0.764781066978935,0.691710687294457,0.94573094451307,-0.010518568585451318
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,5,2,10,11,"The force from which the sun draws its power has been loosed against those who brought war to the Far East. Before 1939, it was the accepted belief of scientists that it was theoretically possible to release atomic energy.",2,39,0.10495846950814752,0.11673454787944616,0.09803632764533417,0.11333771157538806,0.08007881506953246,-0.04965367134548951,-0.08013888019301246,-0.0026081481333597345,-0.04996677362492168,-0.09295034082407665,1.8333333333333333,0.000212168223094305,0.0012177485511749827,"[0.10495846950814752, 0.11673454787944616, 0.09803632764533417, 0.11333771157538806, 0.08007881506953246]",0.7916053021388721,0.847470230706773,0.7590633848384111,0.9765201901601097,0.0016381489133476673
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,6,2,12,13,"But no one knew any practical method of doing it. By 1942, however, we knew that the Germans were working feverishly to find a way to add atomic energy to the other engines of war with which they hoped to enslave the world.",2,43,0.10608276667705799,0.10518986751375985,0.09425891902526569,0.07359960993130527,0.0879761451526552,0.019811602165502797,0.0009432814335821543,0.025769290465631905,-0.01256644582821479,-0.028900848240530734,1.2857142857142858,0.00018051565843298618,0.0005113764685115294,"[0.10608276667705799, 0.10518986751375985, 0.09425891902526569, 0.07359960993130527, 0.0879761451526552]",0.8076581117621864,0.7782784272823677,0.6960735159998103,0.9290682784878744,-0.0016680852504205382
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,7,2,14,15,But they failed. We may be grateful to Providence that the Germans got the V-1's and V-2's late and in limited quantities and even more grateful that they did not get the atomic bomb at all.,2,36,0.1444710120512906,0.09257972530681706,0.08555938871351779,0.110127360422642,0.09502664220824594,-0.19694235278795277,-0.29175081372549017,-0.24928773629964804,-0.2836664464285714,-0.23250930392156866,0.625,0.0005535977480121381,0.0014986625513323808,"[0.1444710120512906, 0.09257972530681706, 0.08555938871351779, 0.110127360422642, 0.09502664220824594]",0.8291596324354725,0.7479796601320667,0.7234172981600697,0.9364048229547155,-0.007351265401552613
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,8,2,16,17,"The battle of the laboratories held fateful risks for us as well as the battles of the air, land and sea, and we have now won the battle of the laboratories as we have won the other battles. Beginning in 1940, before Pearl Harbor, scientific knowledge useful in war was pooled between the United States and Great Britain, and many priceless helps to our victories have come from that arrangement.",2,70,0.10700723822467675,0.0886815845054187,0.08367912621688163,0.0876510889261847,0.06582618161799629,-0.1450862289971612,0.01898282885141266,-0.029762305329216088,0.004536795734664219,-0.056464068144165505,1.9,0.00021549284909171384,0.004217336407409103,"[0.10700723822467675, 0.0886815845054187, 0.08367912621688163, 0.0876510889261847, 0.06582618161799629]",0.8317593662039127,0.7913037963242041,0.7339054220085045,0.959512512213296,-0.0027739453526456417
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,9,2,18,19,Under that general policy the research on the atomic bomb was begun. With American and British scientists working together we entered the race of discovery against the Germans.,2,28,0.13204028639583615,0.07546013365436635,0.08528909674691111,0.10827333327339397,0.07202825115906102,-0.09281379765795207,-0.1258197238178488,-0.06985498627972817,-0.0558723197197782,-0.17600882285764144,1.3333333333333333,0.0006378111692940654,0.0023171575706266733,"[0.13204028639583615, 0.07546013365436635, 0.08528909674691111, 0.10827333327339397, 0.07202825115906102]",0.8270403252394545,0.7409127003099969,0.7538769680659698,0.9449818847665665,-0.007783783822598762
