president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,0,2,0,1,"[Delivered in person at the Capitol] Mr. Vice President, Mr. Chief Justice, fellow citizens: I accept with humility the honor which the American people have conferred upon me. I accept it with a resolve to do all that I can for the welfare of this Nation and for the peace of the world.",2,53,0.11701462020063669,0.13229065798765582,0.11838215412880958,0.1099837293721877,0.09997893626523069,0.053682621863925986,0.097098636325607,0.12039946849680919,0.13075684018606015,0.04947770896588245,2.2857142857142856,0.00014096380941291668,0.001399061442179098,"[0.11701462020063669, 0.13229065798765582, 0.11838215412880958, 0.1099837293721877, 0.09997893626523069]",0.7854798491751449,0.822598448208543,0.7415900584394322,0.9567377776858677,0.0006798060380331095
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,1,2,2,3,"In performing the duties of my office, I need the help and the prayers of every one of you. I ask for your encouragement and for your support.",2,28,0.11339210586378627,0.09680093469729684,0.09252622887730122,0.12685849271754024,0.1099973732203939,0.03329837442800547,0.16991163201323167,0.1442922406021729,0.1596098197497208,0.06533085664228104,2.0,0.00018838190185688214,0.0037510576007098325,"[0.11339210586378627, 0.09680093469729684, 0.09252622887730122, 0.12685849271754024, 0.1099973732203939]",0.7443168454335451,0.7971804631388525,0.7947060833829993,0.9511336101894783,-0.002440640634698475
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,2,2,4,5,The tasks we face are difficult. We can accomplish them only if we work together.,2,15,0.11691359244981854,0.10611118382674929,0.08979009349154976,0.08227485103813947,0.07825130713561873,-0.2106893364725502,-0.20910583333333332,-0.021964202020202064,-0.17513158730158732,-0.11531330864197531,1.5,0.000268176189256085,0.006335321570092778,"[0.11691359244981854, 0.10611118382674929, 0.08979009349154976, 0.08227485103813947, 0.07825130713561873]",0.8413979357514574,0.7878409613314716,0.6915031941599433,0.9448159651169069,-0.002069399485833054
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,3,2,6,7,Each period of our national history has had its special challenges. Those that confront us now are as momentous as any in the past.,2,24,0.08038988263421389,0.0821919542551228,0.08367173347479619,0.0813695590262763,0.06778730551416906,-0.12932192307692306,-0.03728163184252969,-0.014715570265462533,-0.07587901703882667,0.03204625272243284,7.0,4.131276890315722e-05,0.0037441351851299834,"[0.08038988263421389, 0.0821919542551228, 0.08367173347479619, 0.0813695590262763, 0.06778730551416906]",0.7710288091890817,0.8110824300548212,0.7757426768145601,0.9599864428057011,-0.0008356031158652001
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,4,2,8,9,"Today marks the beginning not only of a new administration, but of a period that will be eventful, perhaps decisive, for us and for the world. It may be our lot to experience, and in a large measure bring about, a major turning point in the long history of the human race.",2,52,0.09393395185028439,0.08857284263619454,0.08150088488235402,0.09466256175051053,0.07477524945750175,-0.10378667115508634,0.020943294518781838,-0.030244678489003474,-0.03727611473363467,-0.009657308203319745,6.0,7.211746694869481e-05,0.002121608228695109,"[0.09393395185028439, 0.08857284263619454, 0.08150088488235402, 0.09466256175051053, 0.07477524945750175]",0.7870214305293478,0.8158430071661575,0.768539041966638,0.9655037501654777,-0.001005110854199475
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,5,2,10,11,"The first half of this century has been marked by unprecedented and brutal attacks on the rights of man, and by the two most frightful wars in history. The supreme need of our time is for men to learn to live together in peace and harmony.",2,46,0.14896453471470714,0.10540665085254665,0.10481891800151014,0.10466517599704467,0.11285393063419365,-0.19210698494754946,-0.13913456853302553,-0.11103758012322426,-0.10912663537239634,-0.15002317167861115,2.1666666666666665,0.0003650265794762051,0.0011519822141789302,"[0.14896453471470714, 0.10540665085254665, 0.10481891800151014, 0.10466517599704467, 0.11285393063419365]",0.8133913388139012,0.7393487252419053,0.7188125639515793,0.9246038555170355,-0.008321680441740073
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,6,2,12,13,"The peoples of the earth face the future with grave uncertainty, composed almost equally of great hopes and great fears. In this time of doubt, they look to the United States as never before for good will, strength, and wise leadership.",2,41,0.09314686912919455,0.08112718743526692,0.09024010259740904,0.08821526584960211,0.07742532053710482,0.05484941908879094,0.07301712131262379,0.08910948488318475,0.09052728518538296,0.06678557791491715,9.5,4.2807063029064564e-05,0.00022938186552278408,"[0.09314686912919455, 0.08112718743526692, 0.09024010259740904, 0.08821526584960211, 0.07742532053710482]",0.7710690065198214,0.7830817270033106,0.7811469070327838,0.950684365152837,-0.0028263944679589453
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,7,2,14,15,"It is fitting, therefore, that we take this occasion to proclaim to the world the essential principles of the faith by which we live, and to declare our aims to all peoples. The American people stand firm in the faith which has inspired this Nation from the beginning.",2,48,0.12683911275255297,0.1069676758453959,0.13258117143448195,0.11795692405734919,0.12575984349718788,0.0001088018815207296,0.256890848226987,0.12462076426337056,0.118321937690619,0.14024485139095796,3.75,9.795741581870115e-05,0.008306005703410082,"[0.12683911275255297, 0.1069676758453959, 0.13258117143448195, 0.11795692405734919, 0.12575984349718788]",0.7371515370924286,0.7542172779149513,0.7888514158417509,0.9282017269375951,-0.007227635220259689
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,8,2,16,17,We believe that all men have a right to equal justice under law and equal opportunity to share in the common good. We believe that all men have a right to freedom of thought and expression.,2,36,0.1128223964076479,0.14612680438827708,0.11454936709924649,0.11971209887003094,0.10303064799967784,0.1376707690990566,0.13130295780573228,0.16578720961600396,0.18737687296748,0.13985612226066899,17.0,0.00026226338783078755,0.0005554958293851578,"[0.1128223964076479, 0.14612680438827708, 0.11454936709924649, 0.11971209887003094, 0.10303064799967784]",0.7780848330493844,0.8531235426190947,0.7373848608758505,0.9645833904226682,0.005142290580539895
Harry S. Truman,1949 Inaugural Address,19  - Inaugural Address.,1949-01-20,Oral,9,2,18,19,We believe that all men are created equal because they are created in the image of God. From this faith we will not be moved.,2,25,0.09885627406520486,0.12986865765804123,0.10060326273479081,0.11595154068868853,0.11554585305455994,0.0038669042008919324,-0.029392910924403562,0.09110922140522876,0.080779030926324,0.12595052977936042,8.0,0.0001624958766911906,0.004184431161758869,"[0.09885627406520486, 0.12986865765804123, 0.10060326273479081, 0.11595154068868853, 0.11554585305455994]",0.7383189782055624,0.8437992972517864,0.7546078622000058,0.951618224204022,0.00473187240939163
