president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,0,5,0,4,"SIXTEEN HOURS AGO an American airplane dropped one bomb on Hiroshima, an important Japanese Army base. That bomb had more power than 20,000 tons of T.N.T. It had more than two thousand times the blast power of the British ""Grand Slam"" which is the largest bomb ever yet used in the history of warfare. The Japanese began the war from the air at Pearl Harbor. They have been repaid many fold.",5,71,0.14240852230845658,0.09315752648255357,0.09070659785858813,0.11400517992970988,0.08485061648969942,-0.18227391017857097,-0.18298160804650523,-0.13911320166941932,-0.1605217268544234,-0.20095238139763477,0.9411764705882353,0.0005577576717442645,0.0005677134662323096,"[0.14240852230845658, 0.09315752648255357, 0.09070659785858813, 0.11400517992970988, 0.08485061648969942]",0.8335690109651729,0.7594052499863505,0.7365112953327354,0.9481916688926357,-0.007220805939102522
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,1,5,5,9,And the end is not yet. With this bomb we have now added a new and revolutionary increase in destruction to supplement the growing power of our armed forces. In their present form these bombs are now in production and even more powerful forms are in development. It is an atomic bomb. It is a harnessing of the basic power of the universe.,5,63,0.15671016492606865,0.10954947791227895,0.09050798356405915,0.12445617505645308,0.09601895635044715,-0.13112130305875896,-0.11021606630485248,-0.08184589069035722,-0.07218818991506415,-0.08692552757659008,4.0,0.0007044995476233136,0.0005710586020484327,"[0.15671016492606865, 0.10954947791227895, 0.09050798356405915, 0.12445617505645308, 0.09601895635044715]",0.8420477799372396,0.7730885699852971,0.7167710722307973,0.9492530024662119,-0.0064591086137845075
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,2,5,10,14,"The force from which the sun draws its power has been loosed against those who brought war to the Far East. Before 1939, it was the accepted belief of scientists that it was theoretically possible to release atomic energy. But no one knew any practical method of doing it. By 1942, however, we knew that the Germans were working feverishly to find a way to add atomic energy to the other engines of war with which they hoped to enslave the world. But they failed.",5,85,0.10664268561983226,0.11279618422764305,0.09847782015010255,0.09852911031957216,0.0836183621653375,-0.03722180787194569,-0.06129209440734433,-0.011682813914254615,-0.05838532844419389,-0.08156244682045809,1.6153846153846154,0.00012017634644008605,0.0007063744866376098,"[0.10664268561983226, 0.11279618422764305, 0.09847782015010255, 0.09852911031957216, 0.0836183621653375]",0.8000305271519785,0.822731735959588,0.7394321655433794,0.9618133420752312,-2.6198444157063405e-06
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,3,5,15,19,"We may be grateful to Providence that the Germans got the V-1's and V-2's late and in limited quantities and even more grateful that they did not get the atomic bomb at all. The battle of the laboratories held fateful risks for us as well as the battles of the air, land and sea, and we have now won the battle of the laboratories as we have won the other battles. Beginning in 1940, before Pearl Harbor, scientific knowledge useful in war was pooled between the United States and Great Britain, and many priceless helps to our victories have come from that arrangement. Under that general policy the research on the atomic bomb was begun. With American and British scientists working together we entered the race of discovery against the Germans.",5,131,0.11876150143092472,0.08430963764158747,0.08253899251088846,0.09426432767412483,0.07157172057168755,-0.1312931772951433,-0.054533621860002164,-0.06200610632477725,-0.03921781599814396,-0.1036511095873587,1.2916666666666667,0.0003181596267660719,0.0014521442474407253,"[0.11876150143092472, 0.08430963764158747, 0.08253899251088846, 0.09426432767412483, 0.07157172057168755]",0.8340808881714511,0.7681997053627388,0.7354377040011197,0.9515784644456401,-0.004699647312412111
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,4,5,20,24,"The United States had available the large number of scientists of distinction in the many needed areas of knowledge. It had the tremendous industrial and financial resources necessary for the project and they could be devoted to it without undue impairment of other vital war work. In the United States the laboratory work and the production plants, on which a substantial start had already been made, would be out of reach of enemy bombing, while at that time Britain was exposed to constant air attack and was still threatened with the possibility of invasion. For these reasons Prime Minister Churchill and President Roosevelt agreed that it was wise to carry on the project here. We now have two great plants and many lesser works devoted to the production of atomic power.",5,131,0.1021523131256942,0.09248088959815647,0.08855386799950922,0.09407933189622877,0.06985518247419113,-0.07000338622512729,0.007180756202240367,0.01767669097283961,0.032504206183413833,-0.004461597987839731,5.0,0.00014418059816481485,0.0015706068093312706,"[0.1021523131256942, 0.09248088959815647, 0.08855386799950922, 0.09407933189622877, 0.06985518247419113]",0.8087066225481432,0.8074776257485882,0.7558188386600633,0.9656978851684326,-0.001923567998772406
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,5,5,25,29,"Employment during peak construction numbered 125,000 and over 65,000 individuals are even now engaged in operating the plants. Many have worked there for two and a half years. Few know what they have been producing. They see great quantities of material going in and they see nothing coming out of these plants, for the physical size of the explosive charge is exceedingly small. We have spent two billion dollars on the greatest scientific gamble in history-and won.",5,77,0.1113655034932412,0.09235577869442652,0.10132937838664521,0.07910417508571976,0.0955186225416353,-0.03858864923472765,0.048920332165251226,-0.08749496579717536,-0.006346077828897915,-0.07464765731870895,2.4444444444444446,0.00014086515459876684,0.003036867191579393,"[0.1113655034932412, 0.09235577869442652, 0.10132937838664521, 0.07910417508571976, 0.0955186225416353]",0.7854709337884445,0.7431789396663581,0.7306258634403635,0.9196523282965251,-0.004862552073922451
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,6,5,30,34,"But the greatest marvel is not the size of the enterprise, its secrecy, nor its cost, but the achievement of scientific brains in putting together infinitely complex pieces of knowledge held by many men in different fields of science into a workable plan. And hardly less marvelous has been the capacity of industry to design, and of labor to operate, the machines and methods to do things never done before so that the brain child of many minds came forth in physical shape and performed as it was supposed to do. Both science and industry worked under the direction of the United States Army, which achieved a unique success in managing so diverse a problem in the advancement of knowledge in an amazingly short time. It is doubtful if such another combination could be got together in the world. What has been done is the greatest achievement of organized science in history.",5,152,0.09281819634799782,0.08840478314771023,0.09212350812684486,0.0738210285506635,0.0867224704112942,-0.010425298019045732,0.03709485664709759,0.03828306777794552,-0.032853355004829006,-0.03364565864099487,2.1904761904761907,5.8897761285077934e-05,0.0012903008811764967,"[0.09281819634799782, 0.08840478314771023, 0.09212350812684486, 0.0738210285506635, 0.0867224704112942]",0.7708471807728368,0.7678607392461735,0.7401133759187886,0.927715129402807,-0.0023959009463842933
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,7,5,35,39,"It was done under high pressure and without failure. We are now prepared to obliterate more rapidly and completely every productive enterprise the Japanese have above ground in any city. We shall destroy their docks, their factories, and their communications. Let there be no mistake; we shall completely destroy Japan's power to make war. It was to spare the Japanese people from utter destruction that the ultimatum of July 26 was issued at Potsdam.",5,74,0.1583596020331702,0.10467808724759266,0.12094205905638539,0.12435111709420682,0.1273946624241119,-0.2250391797757175,-0.23951267254358355,-0.18515612104054863,-0.23869901789557277,-0.22420325724734333,1.125,0.00038136453450625455,0.0004889376479580028,"[0.1583596020331702, 0.10467808724759266, 0.12094205905638539, 0.12435111709420682, 0.1273946624241119]",0.7849813447112425,0.7316866327029379,0.7557863171053175,0.9249240531454304,-0.011820446802249848
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,8,5,40,44,"Their leaders promptly rejected that ultimatum. If they do not now accept our terms they may expect a rain of ruin from the air, the like of which has never been seen on this earth. Behind this air attack will follow sea and land forces in such numbers and power as they have not yet seen and with the fighting skill of which they are already well aware. The Secretary of War, who has kept in personal touch with all phases of the project, will immediately make public a statement giving further details. His statement will give facts concerning the sites at Oak Ridge near Knoxville, Tennessee, and at Richland near Pasco, Washington, and an installation near Santa Fe, New Mexico.",5,121,0.09042145192838102,0.09610724436367808,0.08677281224064316,0.0899801374065462,0.0732746363353963,-0.1035422538771601,-0.08285230921012675,-0.062432310608559353,-0.0786635775470054,-0.09544646483795365,2.2941176470588234,7.287056781495369e-05,0.0002515389932760989,"[0.09042145192838102, 0.09610724436367808, 0.08677281224064316, 0.0899801374065462, 0.0732746363353963]",0.7875076739171213,0.8261643826284728,0.7569029636849711,0.9652285391896402,1.7682955657068872e-05
Harry S. Truman,A-Bomb Hiroshima Statement,93  - Statement by the President Announcing the Use of the A-Bomb at Hiroshima,1945-08-06,Written,9,5,45,49,"Although the workers at the sites have been making materials to be used in producing the greatest destructive force in history they have not themselves been in danger beyond that of many other occupations, for the utmost care has been taken of their safety. The fact that we can release atomic energy ushers in a new era in man's understanding of nature's forces. Atomic energy may in the future supplement the power that now comes from coal, oil, and falling water, but at present it cannot be produced on a basis to compete with them commercially. Before that comes there must be a long period of intensive research. It has never been the habit of the scientists of this country or the policy of this Government to withhold from the world scientific knowledge.",5,133,0.11270539368812106,0.1095628399752701,0.09169328060967503,0.09248386772807263,0.09044924791777671,-0.025578818189188796,-0.01965837129419532,0.0043828755421767155,0.014829633931836287,-0.014724545799809804,3.230769230769231,0.00011691424229736818,0.00029114187766691817,"[0.11270539368812106, 0.1095628399752701, 0.09169328060967503, 0.09248386772807263, 0.09044924791777671]",0.8098317950680402,0.8029941621121792,0.7188301234656752,0.9493259568974249,-0.0010638219250653433
