president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,0,5,0,4,"To the Congress of the United States: I am reporting to the Congress on the situation which has been created in Korea, and on the actions which this Nation has taken, as a member of the United Nations, to meet this situation. I am also laying before the Congress my views concerning the significance of these events for this Nation and the world, and certain recommendations for legislative action which I believe should be taken at this time. At four o'clock in the morning, Sunday, June 25th, Korean time, armed forces from north of the thirty-eighth parallel invaded the Republic of Korea. The Republic of Korea was established as an independent nation in August, 1948, after a free election held under the auspices of the United Nations. This election, which was originally intended to cover all of Korea, was held only in the part of the Korean peninsula south of the thirty-eighth parallel, because the Soviet Government, which occupied the peninsula north of that parallel, refused to allow the election to be held in the area under its control.",5,179,0.08524891348374357,0.11020221615413398,0.0922168943973936,0.10862490738821842,0.07981933988594883,-0.04507887696890789,0.02072671441848275,0.012909442769347584,0.009159252235556015,0.027309675006627655,1.7857142857142858,0.00018744496359562554,0.000833200897620808,"[0.08524891348374357, 0.11020221615413398, 0.0922168943973936, 0.10862490738821842, 0.07981933988594883]",0.7542832081105402,0.8628552900622868,0.7782376306883549,0.9754906471341287,0.0033548187830826637
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,1,5,5,9,"The United States, and a majority of the other members of the United Nations, have recognized the Republic of Korea. The admission of Korea to the United Nations has been blocked by the Soviet veto. In December, 1948, the Soviet Government stated that it had withdrawn its occupation troops from northern Korea, and that a local regime had been established there. The authorities in northern Korea continued to refuse to permit United Nations observers to pass the thirty-eighth parallel to supervise or observe a free election, or to verify the withdrawal of Soviet troops. Nevertheless, the United Nations continued its efforts to obtain a freely-elected government for all of Korea, and at the time of the attack, a United Nations Commission, made up of representatives of seven nations-Australia, China, El Salvador, France, India, the Philippines and Turkey-was in the Republic of Korea.",5,142,0.07309870710389463,0.09043078213621303,0.08566014374553371,0.099751062597305,0.0543161053579884,-0.07556795128209755,-0.002911962059084213,-0.035719569990034915,0.006734365420292749,0.014199270139721477,1.8076923076923077,0.00030902796351547945,0.001375537435574654,"[0.07309870710389463, 0.09043078213621303, 0.08566014374553371, 0.099751062597305, 0.0543161053579884]",0.7556900210324399,0.8638835679960322,0.8017016037825179,0.9859891088235534,0.0017901399299924056
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,2,5,10,14,"Just one day before the attack of June 25th, field observers attached to the United Nations Commission on Korea had completed a routine tour, lasting two weeks, of the military positions of the Republic of Korea south of the thirty-eighth parallel. The report of these international observers stated that the Army of the Republic of Korea was organized entirely for defense. The observers found the parallel guarded on the south side by small bodies of troops in scattered outposts, with roving patrols. They found no concentration of troops and no preparation to attack. The observers concluded that the absence of armor, air support, heavy artillery, and military supplies precluded any offensive action by the forces of the Republic of Korea.",5,120,0.09145867105333017,0.08578666036767812,0.08898244062933336,0.10390404644322837,0.06886245341731764,-0.10354653765588813,-0.08218079024285116,-0.07083172518199922,-0.06925022169527284,-0.12721753495245508,1.2962962962962963,0.00015920213801204298,0.0006064843438482908,"[0.09145867105333017, 0.08578666036767812, 0.08898244062933336, 0.10390404644322837, 0.06886245341731764]",0.7701325878387307,0.8201674940220983,0.8011376752895204,0.9736453625868924,-0.0013065028579204684
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,3,5,15,19,"On June 25th, within a few hours after the invasion was launched from the north, the Commission reported to the United Nations that the attack had come without warning and without provocation. The reports from the Commission make it unmistakably clear that the attack was naked, deliberate, unprovoked aggression, without a shadow of justification. This outright breach of the peace, in violation of the United Nations Charter, created a real and present danger to the security of every nation. This attack was, in addition, a demonstration of contempt for the United Nations, since it was an attempt to settle, by military aggression, a question which the United Nations had been working to settle by peaceful means. The attack on the Republic of Korea, therefore, was a clear challenge to the basic principles of the United Nations Charter and to the specific actions taken by the United Nations in Korea.",5,149,0.09855863750714954,0.09971321208724765,0.08283552706426169,0.09686471708114221,0.08710189116784743,-0.0936769434494993,-0.054610848131994155,-0.0396514366655813,-0.02380945829669753,-0.05534547968217939,4.833333333333333,5.7251202171372686e-05,0.0006730261491566186,"[0.09855863750714954, 0.09971321208724765, 0.08283552706426169, 0.09686471708114221, 0.08710189116784743]",0.7839784657202485,0.820311138996184,0.7499498394447996,0.9585762509179019,5.118970550412744e-06
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,4,5,20,24,"If this challenge had not been met squarely, the effectiveness of the United Nations would have been all but ended, and the hope of mankind that the United Nations would develop into an institution of world order would have been shattered. Prompt action was imperative. The Security Council of the United Nations met, at the request of the United States, in New York at two o'clock in the afternoon, Sunday, June 25th, eastern daylight time. Since there is a 14-hour difference in time between Korea and New York, this meant that the Council convened just 24 hours after the attack began. At this meeting, the Security Council passed a resolution which called for the immediate cessation of hostilities and for the withdrawal of the invading troops to the thirty-eighth parallel, and which requested the members of the United Nations to refrain from giving aid to the northern aggressors and to assist in the execution of this resolution.",5,157,0.07751870789219929,0.07694880152974372,0.06776574552530355,0.09166812626303071,0.05659923514406362,-0.09656329617407401,-0.03211151860044055,-0.05994356458458369,-0.008708627320763856,-0.006502003649177763,2.4761904761904763,0.00016871046110471417,0.00143942847021431,"[0.07751870789219929, 0.07694880152974372, 0.06776574552530355, 0.09166812626303071, 0.05659923514406362]",0.7808606337228495,0.8433459508416234,0.7875026554016072,0.981993671620817,0.0002126581240027084
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,5,5,25,29,"The representative of the Soviet Union to the Security Council stayed away from the meetings, and the Soviet Government has refused to support the Council's resolution. The attack launched on June 25th moved ahead rapidly. The tactical surprise gained by the aggressors, and their superiority in planes, tanks and artillery, forced the lightly-armed defenders to retreat. The speed, the scale, and the coordination of the attack left no doubt that it had been plotted long in advance. When the attack came, our Ambassador to Korea, John J.",5,87,0.1092016750659746,0.10221476460369588,0.11280237423510184,0.1270954650620666,0.07712870122751639,-0.1389596344048249,-0.14913859769390367,-0.06905036444673178,-0.09430665943692428,-0.07828606699087981,1.8235294117647058,0.0003372341755819366,0.001304333648053193,"[0.1092016750659746, 0.10221476460369588, 0.11280237423510184, 0.1270954650620666, 0.07712870122751639]",0.7670242501538409,0.8188434962603416,0.8098939927364819,0.9753893512902878,-0.0023081187050264795
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,6,5,30,34,"Muccio, began the immediate evacuation of American women and children from the danger zone. To protect this evacuation, air cover and sea cover were provided by the Commander in Chief of United States Forces in the Far East, General of the Army Douglas MacArthur. In response to urgent appeals from the Government of Korea, General MacArthur was immediately authorized to send supplies of ammunition to the Korean defenders. These supplies were sent by air transport, with fighter protection. The United States Seventh Fleet was ordered north from the Philippines, so that it might be available in the area in case of need.",5,102,0.10459558210387325,0.10215625456295377,0.08523304280415882,0.09249010680034304,0.07791462221893643,-0.09576196860405276,-0.041293541740465185,0.0015041492198045283,-0.04948055437457933,-0.08449835116718936,2.5625,0.0001262714827842376,0.0014841893416497319,"[0.10459558210387325, 0.10215625456295377, 0.08523304280415882, 0.09249010680034304, 0.07791462221893643]",0.813782293570743,0.8167645256068775,0.7306489346704137,0.9613739388478564,-0.0005750868512585695
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,7,5,35,39,"Throughout Monday, June 26th, the invaders continued their attack with no heed to the resolution of the Security Council of the United Nations. Accordingly, in order to support the resolution, and on the unanimous advice of our civil and military authorities, I ordered United States air and sea forces to give the Korean Government troops cover and support. On Tuesday, June 27th, when the United Nations Commission in Korea had reported that the northern troops had neither ceased hostilities nor withdrawn to the thirty-eighth parallel, the United Nations Security Council met again and passed a second resolution recommending that members of the United Nations furnish to the Republic of Korea such aid as might be necessary to repel the attack and to restore international peace and security in the area. The representative of the Soviet Union to the Security Council stayed away from this meeting also, and the Soviet Government has refused to support the Council's resolution. The vigorous and unhesitating actions of the United Nations and the United States in the face of this aggression met with an immediate and overwhelming response throughout the free world.",5,187,0.08204949834581039,0.08024676715067695,0.08532918421657656,0.09366439954311818,0.05878052512696761,-0.07156580619424727,-0.023147377961177853,-0.033430942124100915,0.014109887071753745,0.02241134826470349,3.3636363636363638,0.00016741062004020055,0.001449375057320386,"[0.08204949834581039, 0.08024676715067695, 0.08532918421657656, 0.09366439954311818, 0.05878052512696761]",0.7713941063730118,0.8234637694584307,0.8008849343611094,0.9754087649262579,-0.0009432266176866329
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,8,5,40,44,"The first blow of aggression had brought dismay and anxiety to the hearts of men the world over. The fateful events of the 1930's, when aggression unopposed bred more aggression and eventually war, were fresh in our memory. But the free nations had learned the lesson of history. Their determined and united actions uplifted the spirit of free men everywhere. As a result, where there had been dismay there is hope; where there had been anxiety there is firm determination.",5,80,0.1072307345730977,0.10698074815809241,0.09577568863584539,0.08179101650664125,0.10871671672281322,-0.03273229875432755,0.03081904677170473,-0.005991858894676242,-0.06497472484916145,-0.060483957643616824,4.142857142857143,0.0001315896044974711,0.0015949907809301308,"[0.1072307345730977, 0.10698074815809241, 0.09577568863584539, 0.08179101650664125, 0.10871671672281322]",0.7719994354209947,0.7721507827209043,0.7133455970415179,0.9191007063072781,-0.00171919605839628
Harry S. Truman,Korean War Report,193  - Special Message to the Congress Reporting on the Situation in Korea.,1950-07-19,Written,9,5,45,49,"Fifty-two of the fifty-nine member nations have supported the United Nations action to restore peace in Korea. A number of member nations have offered military support or other types of assistance for the United Nations action to repel the aggressors in Korea. In a third resolution, passed on July 7th, the Security Council requested the United States to designate a commander for all the forces of the members of the United Nations in the Korean operation, and authorized these forces to fly the United Nations flag. In response to this resolution, General MacArthur has been designated as commander of these forces. These are important steps forward in the development of a United Nations system of collective security.",5,117,0.07647737961415392,0.07385265552434019,0.08261397196964719,0.09617074651324456,0.05752305890642227,-0.013424388955845003,0.0025868757208389772,-0.015366365302647024,0.04266034300397182,0.05217478564582671,6.5,0.00019700696521366968,0.0010057736878651483,"[0.07647737961415392, 0.07385265552434019, 0.08261397196964719, 0.09617074651324456, 0.05752305890642227]",0.7508634319904549,0.8239638161764737,0.8232680136709564,0.9763645606466032,-0.0008731445221188718
