speech_label,block_size,n_blocks,care_mean,fairness_mean,loyalty_mean,authority_mean,sanctity_mean,cosine_gonye_mean,cosine_pergel_mean,cosine_yasa_mean,cosine_gpy_sum_vector_mean,delta_vector_discriminant_mean,delta_vector_discriminant_std
1949 Inaugural Address,2,59,0.11246635891903961,0.10901011143590511,0.09927799913406632,0.09937188674904794,0.0902929485979009,0.7925229206616284,0.7989730122899704,0.7377023922897014,0.9483065663854421,-0.001366450653821787,0.0031931322549341523
1949 Inaugural Address,5,23,0.11326499690811273,0.10989810043420528,0.0998091981173035,0.10018586668872029,0.08901668296769355,0.7978191077202459,0.8033186956893941,0.7394977249082153,0.9529655780695754,-0.001381637439058281,0.0025793264028436593
A-Bomb Hiroshima Statement,2,27,0.11772672492661801,0.09852117784060199,0.09600079676994343,0.09949420163935027,0.08659431186502056,0.797996396495604,0.7800686966959499,0.7431036554860825,0.9449429507707415,-0.003832282731866892,0.004344916727820607
A-Bomb Hiroshima Statement,5,10,0.11923453349018878,0.0983402449290897,0.09436463005033412,0.09850744507412976,0.08792744776815772,0.805707375703167,0.7802787743398685,0.738622971938321,0.946338036997998,-0.004043078850045212,0.003747915103168762
Farewell Address,2,98,0.09560529606687851,0.09341985509379007,0.09186486712250669,0.09110745452775047,0.07778307533374529,0.7665254933596407,0.7922444644353087,0.7525832209179858,0.9410373941353276,-0.0013182350950133278,0.003730750044038906
Farewell Address,5,39,0.09698125113451392,0.09383698410214639,0.09240056597395654,0.09180403039141571,0.0779261646995797,0.7803740693971479,0.8042443779764504,0.7634136643814992,0.955967409537702,-0.001574408929111586,0.0019351674981050594
Korean War Report,2,105,0.1053623921139872,0.10152487913358448,0.09182852522591813,0.10071205309546262,0.0800839058147507,0.791976362808197,0.8123533424562278,0.7511129421311407,0.9590171886488752,-0.0010956998604723506,0.0031064637596941494
Korean War Report,5,42,0.10392750609227602,0.10113190867328901,0.09102669088651835,0.09972834580390495,0.07970650960538511,0.7934472963210872,0.8151917064415182,0.7530091331570234,0.9615478315907395,-0.000913001255923025,0.002138615594268694
Truman Doctrine,2,55,0.11611153799528542,0.11151846320382693,0.09582747783721225,0.09887805796607288,0.08756175652281832,0.8036378249783056,0.8011506517884088,0.722524142685112,0.9475554561866378,-0.0011515207266140515,0.004518676015512674
Truman Doctrine,5,22,0.1147264451887049,0.11142427905418656,0.09633260985925302,0.09929430224675127,0.08589000682073261,0.8087480264900293,0.8091576543217674,0.7290635033696955,0.9555657898951463,-0.0011350281939472046,0.0026937781103793823
