president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,0,5,0,4,"Mr. President, Mr. Speaker, Members of the Congress of the United States: The gravity of the situation which confronts the world today necessitates my appearance before a joint session of the Congress. The foreign policy and the national security of this country are involved. One aspect of the present situation, which I present to you at this time for your consideration and decision, concerns Greece and Turkey. The United States has received from the Greek Government an urgent appeal for financial and economic assistance. Preliminary reports from the American Economic Mission now in Greece and reports from the American Ambassador in Greece corroborate the statement of the Greek Government that assistance is imperative if Greece is to survive as a free nation.",5,122,0.08720044402788178,0.1022118302773416,0.07862830328978336,0.09238103133416792,0.06353893608935778,-0.0800095184118717,-0.043033057623802065,-0.008884815917442543,0.0025487040303537024,-0.013097895492399867,1.7826086956521738,0.00021413209219594458,0.0011126106082681416,"[0.08720044402788178, 0.1022118302773416, 0.07862830328978336, 0.09238103133416792, 0.06353893608935778]",0.8038010106406276,0.8591722396192069,0.739887942190854,0.978501917243943,0.00212099904360738
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,1,5,5,9,"I do not believe that the American people and the Congress wish to turn a deaf ear to the appeal of the Greek Government. Greece is not a rich country. Lack of sufficient natural resources has always forced the Greek people to work hard to make both ends meet. Since 1940, this industrious, peace loving country has suffered invasion, four years of cruel enemy occupation, and bitter internal strife. When forces of liberation entered Greece they found that the retreating Germans had destroyed virtually all the railways, roads, port facilities, communications, and merchant marine.",5,94,0.14714228808026109,0.11957684905174322,0.12098717748332681,0.1145747076693617,0.09729406983084789,-0.1642556294533449,-0.08590382101109825,-0.11502953023065962,-0.08950486307359294,-0.16048429592282365,1.7894736842105263,0.0003207035826794302,0.0014171680343277343,"[0.14714228808026109, 0.11957684905174322, 0.12098717748332681, 0.1145747076693617, 0.09729406983084789]",0.822463187995467,0.774997320362356,0.7349650856011544,0.949473934438009,-0.006666451571690345
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,2,5,10,14,"More than a thousand villages had been burned. Eighty-five percent of the children were tubercular. Livestock, poultry, and draft animals had almost disappeared. Inflation had wiped out practically all savings. As a result of these tragic conditions, a militant minority, exploiting human want and misery, was able to create political chaos which, until now, has made economic recovery impossible.",5,59,0.14559183898073152,0.1002096298609869,0.09573480561763102,0.08281645877824788,0.09712521201214641,-0.125643864849666,-0.07512971831684695,-0.07199449302439612,-0.03759116498453157,-0.09469518246851431,1.7272727272727273,0.000577032419476881,0.0010451296048754777,"[0.14559183898073152, 0.1002096298609869, 0.09573480561763102, 0.08281645877824788, 0.09712521201214641]",0.8451586309620415,0.7197295508247618,0.6739947924035699,0.9112538992836274,-0.007587472965870562
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,3,5,15,19,"Greece is today without funds to finance the importation of those goods which are essential to bare subsistence. Under these circumstances the people of Greece cannot make progress in solving their problems of reconstruction. Greece is in desperate need of financial and economic assistance to enable it to resume purchases of food, clothing, fuel and seeds. These are indispensable for the subsistence of its people and are obtainable only from abroad. Greece must have help to import the goods necessary to restore internal order and security so essential for economic and political recovery.",5,93,0.14427681675763473,0.11592943751688005,0.08768482856884025,0.09116632225336829,0.09165222070431102,-0.018867098613467085,0.04023649686475965,0.009095466052825362,-0.043924291928373,-0.014563434352298172,1.6111111111111112,0.0005812374968762905,0.001010512868906861,"[0.14427681675763473, 0.11592943751688005, 0.08768482856884025, 0.09116632225336829, 0.09165222070431102]",0.8626236187731503,0.768086972795937,0.6611515259365582,0.9330004346749984,-0.0036760987944347914
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,4,5,20,24,"The Greek Government has also asked for the assistance of experienced American administrators, economists and technicians to insure that the financial and other aid given to Greece shall be used effectively in creating a stable and self-sustaining economy and in improving its public administration. The very existence of the Greek state is today threatened by the terrorist activities of several thousand armed men, led by Communists, who defy the government's authority at a number of points, particularly along the northern boundaries. A Commission appointed by the United Nations Security Council is at present investigating disturbed conditions in northern Greece and alleged border violations along the frontier between Greece on the one hand and Albania, Bulgaria, and Yugoslavia on the other. Meanwhile, the Greek Government is unable to cope with the situation. The Greek army is small and poorly equipped.",5,139,0.10532576309738383,0.10052619811297635,0.09352713996374555,0.11533038114257893,0.07775077807200849,-0.07645371748405431,-0.0760419519874715,-0.053252068343944074,-0.06718454260178391,-0.03186739694859926,1.8461538461538463,0.00019730437044224782,0.0003530143126323727,"[0.10532576309738383, 0.10052619811297635, 0.09352713996374555, 0.11533038114257893, 0.07775077807200849]",0.785256457402176,0.8284055905084801,0.7824944722014101,0.9756054156524049,-0.0008319369404906837
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,5,5,25,29,It needs supplies and equipment if it is to restore authority to the government throughout Greek territory. Greece must have assistance if it is to become a self-supporting and self-respecting democracy. The United States must supply this assistance. We have already extended to Greece certain types of relief and economic aid but these are inadequate. There is no other country to which democratic Greece can turn.,5,66,0.12138806733154281,0.11032823109079314,0.10031569191634555,0.10814559090837245,0.07493644790833749,0.018739662807686238,0.05697569707489369,0.04819125479975758,0.05633880825597464,0.00525497575082305,2.875,0.000303266740566379,0.0005598496403926446,"[0.12138806733154281, 0.11032823109079314, 0.10031569191634555, 0.10814559090837245, 0.07493644790833749]",0.825665693144675,0.8126101477984703,0.7411258697479179,0.968725461269865,-0.0021655832864059324
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,6,5,30,34,"No other nation is willing and able to provide the necessary support for a democratic Greek government. The British Government, which has been helping Greece, can give no further financial or economic aid after March 31. Great Britain finds itself under the necessity of reducing or liquidating its commitments in several parts of the world, including Greece. We have considered how the United Nations might assist in this crisis. But the situation is an urgent one requiring immediate action, and the United Nations and its related organizations are not in a position to extend help of the kind that is required.",5,101,0.10711997136209588,0.10406766880416038,0.09684710518972836,0.09689560420446845,0.07526965135317674,-0.012331828450896826,0.02371813524695326,0.035893537534447954,0.03491667986353413,0.032949220906167954,3.7,0.00015500002301668437,0.0004140217843378951,"[0.10711997136209588, 0.10406766880416038, 0.09684710518972836, 0.09689560420446845, 0.07526965135317674]",0.8090508267196331,0.8131626591943256,0.7460232221965113,0.9642053010535229,-0.0013759968465171697
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,7,5,35,39,"It is important to note that the Greek Government has asked for our aid in utilizing effectively the financial and other assistance we may give to Greece, and in improving its public administration. It is of the utmost importance that we supervise the use of any funds made available to Greece, in such a manner that each dollar spent will count toward making Greece self-supporting, and will help to build an economy in which a healthy democracy can flourish. No government is perfect. One of the chief virtues of a democracy, however, is that its defects are always visible and under democratic processes can be pointed out and corrected. The government of Greece is not perfect.",5,116,0.11421407619957762,0.1133925274616407,0.09259969199083774,0.10689779047822513,0.09388371790872088,0.042961265124767875,0.04854367217494342,0.07767061162733666,0.05513272626341652,0.083885849346161,1.8823529411764706,0.00010826378726858873,0.0003286529664744431,"[0.11421407619957762, 0.1133925274616407, 0.09259969199083774, 0.10689779047822513, 0.09388371790872088]",0.7986260406560156,0.8196468986951545,0.7394456352062604,0.9599819799302155,-0.0002157159561537031
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,8,5,40,44,"Nevertheless it represents 85 percent of the members of the Greek Parliament who were chosen in an election last year. Foreign observers, including 692 Americans, considered this election to be a fair expression of the views of the Greek people. The Greek Government has been operating in an atmosphere of chaos and extremism. It has made mistakes. The extension of aid by this country does not mean that the United States condones everything that the Greek Government has done or will do.",5,82,0.08876251876157838,0.10543557770298806,0.09464782181316586,0.10399866795908562,0.07941184641987477,-0.12285922420663686,-0.04310864731622142,-0.07690109999906519,-0.04905530985441535,-0.04354992086744347,2.5,0.00011759815209800943,0.0011652386463525282,"[0.08876251876157838, 0.10543557770298806, 0.09464782181316586, 0.10399866795908562, 0.07941184641987477]",0.7618146129349254,0.8455943331867397,0.7780381562797116,0.9713671486085332,0.0016574992990330308
Harry S. Truman,Truman Doctrine,56  - Special Message to the Congress on Greece and Turkey: The Truman Doctrine,1947-03-12,Oral,9,5,45,49,"We have condemned in the past, and we condemn now, extremist measures of the right or the left. We have in the past advised tolerance, and we advise tolerance now. Greece's neighbor, Turkey, also deserves our attention. The future of Turkey as an independent and economically sound state is clearly no less important to the freedom-loving peoples of the world than the future of Greece. The circumstances in which Turkey finds itself today are considerably different from those of Greece.",5,80,0.10628161885288322,0.10791886640169214,0.08854712066861219,0.11483662126423039,0.10113333719841362,0.004194248697526081,0.10081640798904014,0.07965792425478097,0.01032645007451425,-0.00806012163215764,1.9230769230769231,9.616899147901201e-05,0.0024273984502844047,"[0.10628161885288322, 0.10791886640169214, 0.08854712066861219, 0.11483662126423039, 0.10113333719841362]",0.7656665226800032,0.8247736981811661,0.7658103184416778,0.9594169673472769,0.0005028266490384667
